Key,Source,Context,Changes,English,German
recLargeBundle_Mechanics,items,item,,[DECEA3]Large[-] mechanics bundle,[DECEA3]Großes[-] Mechanikpaket
recLargeBundleCARS_Mechanics,items,item,,[DECEA3]Large[-] mechanics bundle - cars,[DECEA3]Großes[-] Mechanikerpaket – Autos
recLargeBundleCARS_MechanicsDesc,items,item,,A bundle of resources obtained from recycling broken cars. Use it to unpack it.\n\n[DECEA3]Requires «Salvage Operations» skill level 5 to create.[-],"Ein Bündel von Ressourcen, die durch das Recycling kaputter Autos gewonnen werden. Benutze es, um es auszupacken.\n\n[DECEA3]Erfordert Fertigkeitsstufe 5 für „Bergungsoperationen“, um es zu erstellen.[-]"
recLargeBundle_MechanicsDesc,items,item,,A bundle of resources obtained from processing large units. Use it to unpack it.\n\n[DECEA3]Requires «Salvage Operations» skill level 5 to create.[-],"Ein Bündel von Ressourcen, die durch die Verarbeitung großer Einheiten gewonnen werden. Benutze es, um es auszupacken.\n\n[DECEA3]Erfordert Fertigkeitsstufe 5 für „Bergungsoperationen“, um es zu erstellen.[-]"
toolSmallParts,items,item,,Small parts [DECEA3]«Workbench»[-],Kleinteile [DECEA3]«Werkbank»[-]
toolSmallPartsDesc,items,item,,It's good to have bolts and screws on hand. This saves a lot of time. Increases item creation speed by [DECEA3]30%[-].,"Es ist gut, Bolzen und Schrauben zur Hand zu haben. Das spart viel Zeit. Erhöht die Geschwindigkeit der Gegenstandserstellung um [DECEA3]30 %[-]."
toolImprovedTools,items,item,,Improved tools [DECEA3]«Workbench»[-],Verbesserte Werkzeuge [DECEA3]«Workbench»[-]
toolImprovedToolsDesc,items,item,,A good tool is the main thing you need to create complex recipes. Now you can create rare and unique items.,"Ein gutes Werkzeug ist das Wichtigste, was Sie zum Erstellen komplexer Rezepte benötigen. Jetzt können Sie seltene und einzigartige Gegenstände herstellen."
toolCanningTools,items,item,,Canning tools [DECEA3]«Workbench»[-],Einmachwerkzeuge [DECEA3]«Workbench»[-]
toolCanningToolsDesc,items,item,,"With these tools, you can stock up on food for [DECEA3]100[-] years ahead. Allows you to create preservatives.",Mit diesen Tools können Sie sich für [DECEA3]100[-] Jahre im Voraus mit Lebensmitteln eindecken. Ermöglicht die Herstellung von Konservierungsmitteln.
toolKitchenKnives,items,item,,[DECEA3]Stove[-] Ururu kitchen knives,[DECEA3]Herd[-] Ururu-Küchenmesser
toolKitchenKnivesDesc,items,item,,"Good sharp knives are always useful in the kitchen, especially if they were sharpened by [FFB800]Ururu[-]. They help you avoid cut fingers and reduce cooking time.","Gute scharfe Messer sind in der Küche immer nützlich, besonders wenn sie von [FFB800]Ururu[-] geschärft wurden. Sie helfen Ihnen, Schnittwunden an den Fingern zu vermeiden und die Garzeit zu verkürzen."
resourceConcreteBundle,items,item,,Stack of concrete mix [DECEA3]1000[-],Stapel Betonmischung [DECEA3]1000[-]
resourceConcreteBundleDesc,items,item,,A compact pack of concrete. Requires fewer resources when crafting.\nOpen this pack to get [DECEA3]1000[-] concrete.,"Eine kompakte Packung Beton. Benötigt beim Herstellen weniger Ressourcen.\nÖffnen Sie dieses Paket, um [DECEA3]1000[-] Beton zu erhalten."
resourceArmorCraftingKitImp,items,Resources,,[DECEA3]Improved[-] armor crafting kit,[DECEA3]Verbessertes[-] Rüstungs-Herstellungsset
resourceArmorCraftingKitImpDesc,items,Resources,,Specialized components and tools for creating next-generation armor. They enhance armor stats.\n\n[DECEA3]Used to craft experimental and improved armor.[-],Spezialisierte Komponenten und Werkzeuge zur Herstellung von Rüstungen der nächsten Generation. Sie verbessern die Rüstungswerte.\n\n[DECEA3]Wird zur Herstellung experimenteller und verbesserter Rüstungen verwendet.[-]
buffRescuerSetBonus,buffs,Buff,,[FFB800]Rescuer[-],[FFB800]Retter[-]
buffRescuerSetBonusName,buffs,buff,,Armor bonus,Rüstungsbonus
buffRescuerSetBonusTooltip,buffs,buff,,You are affected by the Rescuer armor bonus.,Sie sind vom Retter-Rüstungsbonus betroffen.
buffRescuerSetBonusDesc,buffs,Buff,,"You have equipped a full set of experimental [FFB800]Rescuer[-] armor.\nYour party members benefit from the following bonuses: food and water consumption decreased by [DECEA3]{cvar(.armorRescuerFoodWaterFSBDisplay:0)}%[-], carrying capacity increased by [DECEA3]{cvar(.armorRescuerCarryCapacityFSBDisplay:0)}[-], health regeneration from healing increased by [DECEA3]{cvar(.armorRescuerRegHealthFSBDisplay:0)}%[-], more food and medicine in loot by [DECEA3]{cvar(.armorRescuerFoodLootFSBDisplay:0)}%[-], and running speed increased by [DECEA3]{cvar(.armorRescuerRunSpeedFSBDisplay:0)}%[-].\n\n[FFB800]Party support[-] - Using [8692FF]super elixirs[-] and [8692FF]Rescuer's first aid kit[-] will apply the effect to all party members. When using the [8692FF]Rescuer's first aid kit[-], you apply the [FFB800]Rescuer's defense[-] effect to an ally.\n\n[DECEA3]Grants resistance to 1 active radiation effect.[-]","Du hast einen vollständigen Satz experimenteller [FFB800]Retter[-]-Rüstung ausgerüstet.\nDeine Gruppenmitglieder profitieren von den folgenden Boni: Nahrungs- und Wasserverbrauch um [DECEA3]{cvar(.armorRescuerFoodWaterFSBDisplay:0)} %[-] verringert, Tragfähigkeit um [DECEA3]{cvar(.armorRescuerCarryCapacityFSBDisplay:0)}[-] erhöht, Gesundheitsregeneration durch Heilung erhöht um [DECEA3]{cvar(.armorRescuerRegHealthFSBDisplay:0)}%[-], mehr Nahrung und Medizin in Beute um [DECEA3]{cvar(.armorRescuerFoodLootFSBDisplay:0)}%[-] und Laufgeschwindigkeit erhöht um [DECEA3]{cvar(.armorRescuerRunSpeedFSBDisplay:0)}%[-].\n\n[FFB800]Gruppenunterstützung[-] – Durch die Verwendung von [8692FF]Superelixieren[-] und [8692FF]Erste-Hilfe-Kasten des Retters[-] wird der Effekt auf alle Gruppenmitglieder angewendet. Wenn Sie das [8692FF]Erste-Hilfe-Set des Retters[-] verwenden, wenden Sie den [FFB800]Retter-Verteidigungseffekt[-] auf einen Verbündeten an.\n\n[DECEA3]Gewährt Widerstand gegen 1 aktiven Strahlungseffekt.[-]"
buffRescuerSetBonusOtherT1Name,buffs,buff,,Rescuer nearby,Retter in der Nähe
buffRescuerSetBonusOtherT1Tooltip,buffs,buff,,Ally armor set bonus active,Bonus des Verbündeten-Rüstungssets aktiv
buffRescuerSetBonusOtherT1Desc,buffs,Buff,,"Ally has a full set of [FFB800]Rescuer[-] armor.\n\nFood and water consumption decreased by [DECEA3]10%[-], carrying capacity increased by [DECEA3]1[-], health recovery rate from healing increased by [DECEA3]6%[-], more food and medicine in loot by [DECEA3]4%[-], and running speed increased by [DECEA3]1%[-].","Ally verfügt über einen vollständigen Satz [FFB800]Retter[-]-Rüstung.\n\nDer Nahrungs- und Wasserverbrauch wurde um [DECEA3]10 %[-] verringert, die Tragfähigkeit wurde um [DECEA3]1[-] erhöht, die Gesundheitswiederherstellungsrate durch Heilung wurde um [DECEA3]6 %[-] erhöht, mehr Nahrung und Medizin in der Beute wurden um [DECEA3]4 %[-] erhöht und die Laufgeschwindigkeit wurde um [DECEA3]1 %[-] erhöht."
buffRescuerSetBonusOtherT2Name,buffs,buff,,Rescuer nearby,Retter in der Nähe
buffRescuerSetBonusOtherT2Tooltip,buffs,buff,,Ally armor set bonus active,Bonus des Verbündeten-Rüstungssets aktiv
buffRescuerSetBonusOtherT2Desc,buffs,Buff,,"Ally has a full set of [FFB800]Rescuer[-] armor.\n\nFood and water consumption decreased by [DECEA3]20%[-], carrying capacity increased by [DECEA3]2[-], health recovery rate from healing increased by [DECEA3]12%[-], more food and medicine in loot by [DECEA3]8%[-], and running speed increased by [DECEA3]2%[-].","Ally verfügt über einen vollständigen Satz [FFB800]Retter[-]-Rüstung.\n\nDer Nahrungs- und Wasserverbrauch wurde um [DECEA3]20 %[-] verringert, die Tragfähigkeit wurde um [DECEA3]2[-] erhöht, die Gesundheitswiederherstellungsrate durch Heilung wurde um [DECEA3]12 %[-] erhöht, mehr Nahrung und Medizin in der Beute wurden um [DECEA3]8 %[-] erhöht und die Laufgeschwindigkeit wurde um [DECEA3]8 %[-] erhöht [DECEA3]2 %[-]."
buffRescuerSetBonusOtherT3Name,buffs,buff,,Rescuer nearby,Retter in der Nähe
buffRescuerSetBonusOtherT3Tooltip,buffs,buff,,Ally armor set bonus active,Bonus des Verbündeten-Rüstungssets aktiv
buffRescuerSetBonusOtherT3Desc,buffs,Buff,,"Ally has a full set of [FFB800]Rescuer[-] armor.\n\nFood and water consumption decreased by [DECEA3]30%[-], carrying capacity increased by [DECEA3]3[-], health recovery rate from healing increased by [DECEA3]18%[-], more food and medicine in loot by [DECEA3]12%[-], and running speed increased by [DECEA3]3%[-].","Ally verfügt über einen vollständigen Satz [FFB800]Retter[-]-Rüstung.\n\nDer Nahrungs- und Wasserverbrauch wurde um [DECEA3]30 %[-] verringert, die Tragfähigkeit wurde um [DECEA3]3[-] erhöht, die Gesundheitswiederherstellungsrate durch Heilung wurde um [DECEA3]18 %[-] erhöht, mehr Nahrung und Medizin in der Beute wurden um [DECEA3]12 %[-] erhöht und die Laufgeschwindigkeit wurde um [DECEA3]12 %[-] erhöht [DECEA3]3 %[-]."
buffRescuerSetBonusOtherT4Name,buffs,buff,,Rescuer nearby,Retter in der Nähe
buffRescuerSetBonusOtherT4Tooltip,buffs,buff,,Ally armor set bonus active,Bonus des Verbündeten-Rüstungssets aktiv
buffRescuerSetBonusOtherT4Desc,buffs,Buff,,"Ally has a full set of [FFB800]Rescuer[-] armor.\n\nFood and water consumption decreased by [DECEA3]40%[-], carrying capacity increased by [DECEA3]4[-], health recovery rate from healing increased by [DECEA3]24%[-], more food and medicine in loot by [DECEA3]16%[-], and running speed increased by [DECEA3]4%[-].","Ally verfügt über einen vollständigen Satz [FFB800]Retter[-]-Rüstung.\n\nDer Nahrungs- und Wasserverbrauch wurde um [DECEA3]40 %[-] verringert, die Tragfähigkeit wurde um [DECEA3]4[-] erhöht, die Gesundheitswiederherstellungsrate durch Heilung wurde um [DECEA3]24 %[-] erhöht, mehr Nahrung und Medizin in der Beute wurden um [DECEA3]16 %[-] erhöht und die Laufgeschwindigkeit wurde um [DECEA3]16 %[-] erhöht [DECEA3]4 %[-]."
buffRescuerSetBonusOtherT5Name,buffs,buff,,Rescuer nearby,Retter in der Nähe
buffRescuerSetBonusOtherT5Tooltip,buffs,buff,,Ally armor set bonus active,Bonus des Verbündeten-Rüstungssets aktiv
buffRescuerSetBonusOtherT5Desc,buffs,Buff,,"Ally has a full set of [FFB800]Rescuer[-] armor.\n\nFood and water consumption decreased by [DECEA3]50%[-], carrying capacity increased by [DECEA3]5[-], health recovery rate from healing increased by [DECEA3]30%[-], more food and medicine in loot by [DECEA3]20%[-], and running speed increased by [DECEA3]5%[-].","Ally verfügt über einen vollständigen Satz [FFB800]Retter[-]-Rüstung.\n\nDer Nahrungs- und Wasserverbrauch wurde um [DECEA3]50 %[-] verringert, die Tragfähigkeit wurde um [DECEA3]5[-] erhöht, die Gesundheitswiederherstellungsrate durch Heilung wurde um [DECEA3]30 %[-] erhöht, mehr Nahrung und Medizin in der Beute wurden um [DECEA3]20 %[-] erhöht und die Laufgeschwindigkeit wurde um [DECEA3]20 %[-] erhöht [DECEA3]5 %[-]."
buffRescuerSetBonusOtherT6Name,buffs,buff,,Rescuer nearby,Retter in der Nähe
buffRescuerSetBonusOtherT6Tooltip,buffs,buff,,Ally armor set bonus active,Bonus des Verbündeten-Rüstungssets aktiv
buffRescuerSetBonusOtherT6Desc,buffs,Buff,,"Ally has a full set of [FFB800]Rescuer[-] armor.\n\nFood and water consumption decreased by [DECEA3]60%[-], carrying capacity increased by [DECEA3]10[-], health recovery rate from healing increased by [DECEA3]50%[-], more food and medicine in loot by [DECEA3]30%[-], and running speed increased by [DECEA3]10%[-].","Ally verfügt über einen vollständigen Satz [FFB800]Retter[-]-Rüstung.\n\nDer Nahrungs- und Wasserverbrauch wurde um [DECEA3]60 %[-] verringert, die Tragfähigkeit wurde um [DECEA3]10[-] erhöht, die Gesundheitswiederherstellungsrate durch Heilung wurde um [DECEA3]50 %[-] erhöht, mehr Nahrung und Medizin in der Beute wurden um [DECEA3]30 %[-] erhöht und die Laufgeschwindigkeit wurde um [DECEA3]30 %[-] erhöht [DECEA3]10 %[-]."
buffPredatorSetBonus,buffs,Buff,,[FFB800]Predator[-],[FFB800]Raubtier[-]
buffPredatorSetBonusName,buffs,buff,,Armor bonus,Rüstungsbonus
buffPredatorSetBonusTooltip,buffs,buff,,You are affected by the Predator armor bonus.,Sie sind vom Predator-Rüstungsbonus betroffen.
buffPredatorSetBonusDesc,buffs,Buff,,"You have equipped a full set of experimental [FFB800]Predator[-] armor.\nFirearm damage increased by [DECEA3]{cvar(.armorPredatorFSBDisplay:0)}%[-].\n\n[FFB800]Everyone to the hunt![-]\nDamage dealt by all members of your party is increased by [DECEA3]10%[-].\n\n[FFB800]Second chance[-]\nIf you have less than [DECEA3]50[-] HP remaining, the active skill is triggered. You are immune to all damage for [DECEA3]5[-] seconds, and all enemies around you are knocked down. Cooldown: [DECEA3]90[-] seconds.\n\n[DECEA3]Grants resistance to 1 active radiation effect.[-]","Du hast einen vollständigen Satz experimenteller [FFB800]Predator[-]-Rüstung ausgerüstet.\nDer Schusswaffenschaden wurde um [DECEA3]{cvar(.armorPredatorFSBDisplay:0)} %[-] erhöht.\n\n[FFB800]Alle auf die Jagd![-]\nDer von allen Mitgliedern deiner Gruppe verursachte Schaden wird um erhöht [DECEA3]10 %[-].\n\n[FFB800]Zweite Chance[-]\nWenn Sie weniger als [DECEA3]50[-] HP übrig haben, wird die aktive Fertigkeit ausgelöst. Du bist [DECEA3]5[-] Sekunden lang immun gegen jeglichen Schaden und alle Feinde um dich herum werden niedergeschlagen. Abklingzeit: [DECEA3]90[-] Sekunden.\n\n[DECEA3]Gewährt Widerstand gegen 1 aktiven Strahlungseffekt.[-]"
buffSecondChanceActiveName,buffs,buff,,Second chance,Zweite Chance
buffSecondChanceActiveTooltip,buffs,buff,,You were given a second chance.,Dir wurde eine zweite Chance gegeben.
buffSecondChanceActiveDesc,buffs,Buff,,Second chance activated.\n\nYou are immune to all damage for [DECEA3]5[-] seconds.\nAll enemies around you will be knocked to the ground.,Zweite Chance aktiviert.\n\nDu bist [DECEA3]5[-] Sekunden lang immun gegen jeglichen Schaden.\nAlle Feinde um dich herum werden zu Boden geschleudert.
buffSecondChanceReloadName,buffs,buff,,Second chance reload,Zweite Chance zum Nachladen
buffSecondChanceReloadTooltip,buffs,buff,,Active ability on cooldown.,Aktive Fähigkeit bei Abklingzeit.
buffSecondChanceReloadDesc,buffs,Buff,,Active ability on cooldown.\n\nWait until it ends to be able to activate it again.,"Aktive Fähigkeit bei Abklingzeit.\n\nWarten Sie, bis die Abklingzeit abgelaufen ist, um sie erneut aktivieren zu können."
buffPlundererSetBonus,buffs,Buff,,[FFB800]Plunderer[-],[FFB800]Plünderer[-]
buffPlundererSetBonusName,buffs,buff,,Armor bonus,Rüstungsbonus
buffPlundererSetBonusTooltip,buffs,buff,,You are affected by the Plunderer armor bonus.,Sie sind vom Plünderer-Rüstungsbonus betroffen.
buffPlundererSetBonusDesc,buffs,Buff,,"You have equipped a full set of experimental [FFB800]Plunderer[-] armor.\nYour loot yield is increased by [DECEA3]{cvar(.armorPlundererFSBDisplay:0)}%[-].\n\n[FFB800]Anger generation[-] - Each subsequent melee strike against an enemy increases your damage and attack speed by [DECEA3]10%[-], stacking up to [DECEA3]5[-] times. Effect duration: [DECEA3]3[-] seconds.\n\n[FFB800]Fast hands[-] - Melee attack speed and reload speed for all party members (within 100m) are increased by [DECEA3]10%[-].\n\n[DECEA3]Grants resistance to 1 active radiation effect.[-]","Du hast einen vollständigen Satz experimenteller [FFB800]Plünderer[-]-Rüstung ausgerüstet.\nDeine Beuteausbeute wird um [DECEA3]{cvar(.armorPlundererFSBDisplay:0)} %[-] erhöht.\n\n[FFB800]Wuterzeugung[-] – Jeder nachfolgende Nahkampfangriff gegen einen Feind erhöht deinen Schaden und deine Angriffsgeschwindigkeit um [DECEA3]10 %[-], stapelbar bis zu [DECEA3]5[-] Mal. Effektdauer: [DECEA3]3[-] Sekunden.\n\n[FFB800]Schnelle Hände[-] – Nahkampfangriffsgeschwindigkeit und Nachladegeschwindigkeit für alle Gruppenmitglieder (innerhalb von 100 m) werden um [DECEA3]10 %[-] erhöht.\n\n[DECEA3]Gewährt Widerstand gegen 1 aktiven Strahlungseffekt.[-]"
buffEveryoneHuntName,buffs,buff,,Everyone to the hunt!,Alle auf die Jagd!
buffEveryoneHuntTooltip,buffs,buff,,Ally armor set bonus active.,Bonus des Verbündeten-Rüstungssets aktiv.
buffEveryoneHuntIncDesc,buffs,Buff,,Ally has a full set of [FFB800]Predator[-] armor.\n\nYour damage is increased by [DECEA3]10%[-].,Verbündeter verfügt über einen vollständigen Satz [FFB800]Predator[-]-Rüstung.\n\nDein Schaden wird um [DECEA3]10 %[-] erhöht.
buffFastHandsName,buffs,buff,,Fast hands,Schnelle Hände
buffFastHandsTooltip,buffs,buff,,Ally armor set bonus active.,Bonus des Verbündeten-Rüstungssets aktiv.
buffFastHandsIncDesc,buffs,Buff,,Ally has a full set of [FFB800]Plunderer[-] armor.\n\nMelee attack speed and reload speed increased by [DECEA3]10%[-].,Verbündeter verfügt über einen vollständigen Satz [FFB800]Plünderer[-]-Rüstung.\n\nNahkampfangriffsgeschwindigkeit und Nachladegeschwindigkeit um [DECEA3]10 %[-] erhöht.
buffAngerGenerationName,buffs,buff,,Anger generation,Wuterzeugung
buffAngerGenerationTooltip,buffs,buff,,You accumulate anger.,Du häufst Ärger an.
buffAngerGenerationDesc,buffs,Buff,,You are covered by a full set of [FFB800]Plunderer[-] armor.\n\nMelee attack speed and damage increased by [DECEA3]{cvar(.AngerGenerationDisplay:0)}%[-].,Du bist durch einen vollständigen Satz [FFB800]Plunderer[-]-Rüstung geschützt.\n\nNahkampfangriffsgeschwindigkeit und -schaden erhöht um [DECEA3]{cvar(.AngerGenerationDisplay:0)}%[-].
buffDefenderName,buffs,buff,,Defender,Verteidiger
buffDefenderTooltip,buffs,buff,,Ally armor set bonus active.,Bonus des Verbündeten-Rüstungssets aktiv.
buffDefenderIncDesc,buffs,Buff,,Ally has a full set of [FFB800]Maus[-] armor.\n\nDamage resistance increased by [DECEA3]5%[-].,Verbündeter verfügt über einen vollständigen Satz [FFB800]Maus[-]-Rüstung.\n\nSchadensresistenz um [DECEA3]5 %[-] erhöht.
buffShockTherapyName,buffs,buff,,Shock therapy,Schocktherapie
buffShockTherapyTooltip,buffs,buff,,You have activated the Maus armor.,Sie haben die Maus-Rüstung aktiviert.
buffShockTherapyDesc,buffs,Buff,,"Shock therapy activated.\n\nAll enemies within [DECEA3]10[-] meters of you are under the effect of electric shock.\nYou lose [FFB800]5[-] HP every second.\nBe careful, this can kill you!","Schocktherapie aktiviert.\n\nAlle Feinde im Umkreis von [DECEA3]10[-] Metern um dich herum stehen unter der Wirkung eines Elektroschocks.\nDu verlierst [FFB800]5[-] HP pro Sekunde.\nSeien Sie vorsichtig, das kann Sie töten!"
buffRescuerAidKitName,buffs,buff,,Rescuer protection,Retterschutz
buffRescuerAidKitTooltip,buffs,buff,,You are under the protection of the Rescuer.,Sie stehen unter dem Schutz des Retters.
buffRescuerAidKitDesc,buffs,Buff,,You have received complex healing from the Rescuer.\nYour damage resistance has been increased.,Du hast vom Retter eine komplexe Heilung erhalten.\nDeine Schadensresistenz wurde erhöht.
buffMausSetBonus,buffs,Buff,,[FFB800]Maus[-],[FFB800]Maus[-]
buffMausSetBonusName,buffs,buff,,Armor bonus,Rüstungsbonus
buffMausSetBonusTooltip,buffs,buff,,You are affected by the Maus armor bonus.,Sie sind vom Maus-Rüstungsbonus betroffen.
buffMausSetBonusDesc,buffs,Buff,,"You have equipped a full set of experimental [FFB800]Maus[-] armor.\nMelee damage increased by [DECEA3]{cvar(.armorMausFSBDisplay:0)}%[-].\n\n[FFB800]Chain lightning[-] - When hit by a player, electrocution effect is applied to enemies. Cooldown: [DECEA3]24[-] seconds.\n\n[FFB800]Protector[-] - Physical damage resistance for all members of your group is increased by [DECEA3]5%[-].\n\n[DECEA3]Grants resistance to 1 active radiation effect and electrocution.[-]","Du hast einen vollständigen Satz experimenteller [FFB800]Maus[-]-Rüstung ausgerüstet.\nDer Nahkampfschaden wurde um [DECEA3]{cvar(.armorMausFSBDisplay:0)} %[-] erhöht.\n\n[FFB800]Kettenblitz[-] – Wenn ein Spieler ihn trifft, wird der Stromschlageffekt auf Feinde angewendet. Abklingzeit: [DECEA3]24[-] Sekunden.\n\n[FFB800]Beschützer[-] – Der physische Schadenswiderstand aller Mitglieder Ihrer Gruppe wird um [DECEA3]5 %[-] erhöht.\n\n[DECEA3]Gewährt Widerstand gegen 1 aktiven Strahlungseffekt und Stromschlag.[-]"
armorRescuerHelmet,items,Clothes,,[FFB800]Rescuer[-] Helmet,[FFB800]Retter[-] Helm
armorRescuerHelmetDesc,items,Clothes,,"Experimental Light Head Armor\nNo party can do without you. You get more experience and better loot. Reduced water and food consumption\n\n[DECEA3]Set Bonus:[-]\nSome bonuses from armor elements apply to all party members.\n[DECEA3]Feature[-]\nPassive ability [FFB800]«Party Support»[-] - When using [8692FF]«Super Elixir»[-] and [8692FF]«Rescuer's First Aid Kit»[-], all bonuses are applied to each party member. Activation also removes most negative control effects and applies the [FFB800]«Rescuer's Protection»[-] effect. Grants resistance to [DECEA3]1[-] active radiation effect.\n\n[DECEA3]For repair, armor crafting kits (improved) are required.[-]",Experimenteller leichter Kopfschutz\nKeine Gruppe kann ohne dich auskommen. Du erhältst mehr Erfahrung und bessere Beute. Reduzierter Wasser- und Nahrungsverbrauch\n\n[DECEA3]Setbonus:[-]\nEinige Boni von Rüstungselementen gelten für alle Gruppenmitglieder.\n[DECEA3]Funktion[-]\nPassive Fähigkeit [FFB800]„Gruppenunterstützung“[-] – Bei Verwendung von [8692FF]„Super Elixier“[-] und [8692FF]„Erste-Hilfe-Kasten des Retters“[-] werden alle Boni auf jedes angewendet Parteimitglied. Durch die Aktivierung werden außerdem die meisten negativen Kontrolleffekte entfernt und der Effekt [FFB800]„Schutz des Retters“[-] angewendet. Gewährt Widerstand gegen [DECEA3]1[-] aktive Strahlungswirkung.\n\n[DECEA3]Zur Reparatur sind Rüstungsherstellungssets (verbessert) erforderlich.[-]
armorRescuerOutfit,items,Clothes,,[FFB800]Rescuer[-] Chest,[FFB800]Retter[-]-Truhe
armorRescuerOutfitDesc,items,Clothes,,"Experimental Light Chest Armor\nNo party can do without you. Increases health, carrying capacity and healing speed.\n\n[DECEA3]Set Bonus:[-]\nSome bonuses from armor elements apply to all party members.\n[DECEA3]Feature[-]\nPassive ability [FFB800]«Party Support»[-] - When using [8692FF]«Super Elixir»[-] and [8692FF]«Rescuer's First Aid Kit»[-], all bonuses are applied to each party member. Activation also removes most negative control effects and applies the [FFB800]«Rescuer's Protection»[-] effect. Grants resistance to [DECEA3]1[-] active radiation effect.\n\n[DECEA3]For repair, armor crafting kits (improved) are required.[-]","Experimenteller leichter Brustschutz\nKeine Gruppe kann ohne dich auskommen. Erhöht Gesundheit, Tragfähigkeit und Heilungsgeschwindigkeit.\n\n[DECEA3]Set-Bonus:[-]\nEinige Boni von Rüstungselementen gelten für alle Gruppenmitglieder.\n[DECEA3]Funktion[-]\nPassive Fähigkeit [FFB800]„Gruppenunterstützung“[-] – Bei Verwendung von [8692FF]„Super Elixier“[-] und [8692FF]„Erste-Hilfe-Kasten des Retters“[-], alle Boni gelten für jedes Parteimitglied. Durch die Aktivierung werden außerdem die meisten negativen Kontrolleffekte entfernt und der Effekt [FFB800]„Schutz des Retters“[-] angewendet. Gewährt Widerstand gegen [DECEA3]1[-] aktive Strahlungswirkung.\n\n[DECEA3]Zur Reparatur sind Rüstungsherstellungssets (verbessert) erforderlich.[-]"
armorRescuerGloves,items,Clothes,,[FFB800]Rescuer[-] Hands,[FFB800]Retter[-] Hände
armorRescuerGlovesDesc,items,Clothes,,"Experimental Light Hands Armor\nNo party can do without you. Increases the speed of mining and the amount of resources when salvaging. You also find more medicine and food.\n\n[DECEA3]Set Bonus:[-]\nSome bonuses from armor elements apply to all party members.\n[DECEA3]Feature[-]\nPassive ability [FFB800]«Party Support»[-] - When using [8692FF]«Super Elixir»[-] and [8692FF]«Rescuer's First Aid Kit»[-], all bonuses are applied to each party member. Activation also removes most negative control effects and applies the [FFB800]«Rescuer's Protection»[-] effect. Grants resistance to [DECEA3]1[-] active radiation effect.\n\n[DECEA3]For repair, armor crafting kits (improved) are required.[-]",Experimentelle Rüstung der leichten Hände\nKeine Gruppe kann ohne dich auskommen. Erhöht die Geschwindigkeit des Abbaus und die Menge der Ressourcen bei der Bergung. Außerdem findest du mehr Medizin und Nahrung.\n\n[DECEA3]Set-Bonus:[-]\nEinige Boni von Rüstungselementen gelten für alle Gruppenmitglieder.\n[DECEA3]Funktion[-]\nPassive Fähigkeit [FFB800]„Gruppenunterstützung“[-] – Bei Verwendung von [8692FF]„Super Elixier“[-] und [8692FF]„Erste-Hilfe-Kasten des Retters“[-] werden alle Boni angewendet an jedes Parteimitglied. Durch die Aktivierung werden außerdem die meisten negativen Kontrolleffekte entfernt und der Effekt [FFB800]„Schutz des Retters“[-] angewendet. Gewährt Widerstand gegen [DECEA3]1[-] aktive Strahlungswirkung.\n\n[DECEA3]Zur Reparatur sind Rüstungsherstellungssets (verbessert) erforderlich.[-]
armorRescuerBoots,items,Clothes,,[FFB800]Rescuer[-] Legs,[FFB800]Retter[-] Beine
armorRescuerBootsDesc,items,Clothes,,"Experimental Light Legs Armor\nNo party can do without you. Increases stamina, safe fall height and running speed\n\n[DECEA3]Set Bonus:[-]\nSome bonuses from armor elements apply to all party members.\n[DECEA3]Feature[-]\nPassive ability [FFB800]«Party Support»[-] - When using [8692FF]«Super Elixir»[-] and [8692FF]«Rescuer's First Aid Kit»[-], all bonuses are applied to each party member. Activation also removes most negative control effects and applies the [FFB800]«Rescuer's Protection»[-] effect. Grants resistance to [DECEA3]1[-] active radiation effect.\n\n[DECEA3]For repair, armor crafting kits (improved) are required.[-]","Experimentelle leichte Beinrüstung\nKeine Gruppe kann ohne dich auskommen. Erhöht Ausdauer, sichere Fallhöhe und Laufgeschwindigkeit\n\n[DECEA3]Set-Bonus:[-]\nEinige Boni von Rüstungselementen gelten für alle Gruppenmitglieder.\n[DECEA3]Funktion[-]\nPassive Fähigkeit [FFB800]„Gruppenunterstützung“[-] – Bei Verwendung von [8692FF]„Super Elixier“[-] und [8692FF]„Erste-Hilfe-Kasten des Retters“[-], alle Boni werden für jedes Gruppenmitglied gewährt. Durch die Aktivierung werden außerdem die meisten negativen Kontrolleffekte entfernt und der Effekt [FFB800]„Schutz des Retters“[-] angewendet. Gewährt Widerstand gegen [DECEA3]1[-] aktive Strahlungswirkung.\n\n[DECEA3]Zur Reparatur sind Rüstungsherstellungssets (verbessert) erforderlich.[-]"
armorPredatorHelmet,items,Clothes,,[FFB800]Predator[-] Helmet,[FFB800]Predator[-] Helm
