Key,Source,Context,Changes,English,Turkish
lblCategoryStimulants,UI,Tooltip,,Stimulants,Uyarıcılar
lblCategoryRecAll,UI,Tooltip,,All,Tüm
lblCategoryRecSmall,UI,Tooltip,,Small machinery,Küçük makineler
lblCategoryRecMedium,UI,Tooltip,,Medium machinery,Orta makine
lblCategoryRecLarge,UI,Tooltip,,Large machinery,Büyük makineler
alloysShapes:VariantHelper,blocks,Block,,Durable alloy shapes,Dayanıklı alaşım şekilleri
resourceDurablAlloys,items,buildingResource,,Durable alloys,Dayanıklı alaşımlar
resourceDurablAlloysDesc,items,buildingResource,,"Used to improve steel blocks.\n\nSignificantly increases the block's durability, as well as its resistance to explosions.\n\n[DECEA3]Warning: Improvement only available with the Improved Nailgun[-]",Çelik blokları iyileştirmek için kullanılır.\n\nBloğun dayanıklılığının yanı sıra patlamalara karşı direncini de önemli ölçüde artırır.\n\n[DECEA3]Uyarı: İyileştirme yalnızca Geliştirilmiş Çivi Tabancası ile mümkündür[-]
materialMAlloys_shapes,blocks,Block,,Durable alloys,Dayanıklı alaşımlar
alloysBlockGroupDesc,blocks,Block,,The most durable type of block. Significantly increased durability and resistance to explosions.,En dayanıklı blok türü. Önemli ölçüde artan dayanıklılık ve patlamalara karşı direnç.
UniqueParts,items,Resources,,[F0B18A]Unique[-] parts,[F0B18A]Benzersiz[-] parçalar
UniquePartsDesc,items,Resources,,A rare resource in the quarantine zone.\nUsed for crafting [F0B18A]unique[-] weapons with random properties and for crafting [FFB800]unique[-] modifications.,Karantina bölgesinde nadir bir kaynak.\nRastgele özelliklere sahip [F0B18A]benzersiz[-] silahlar üretmek ve [FFB800]benzersiz[-] modifikasyonlar oluşturmak için kullanılır.
UniqueBuldogBundle,items,item,,[F0B18A]Legendary[-] [FFB800]«Bulldog»[-],[F0B18A]Efsanevi[-] [FFB800]«Bulldog»[-]
UniqueBuldogBundleDesc,items,item,,Contains a unique [FFB800]«Bulldog»[-] Machine Gun (tier 6) with a random property.,Rastgele bir özelliğe sahip benzersiz bir [FFB800]«Bulldog»[-] Makineli Tüfek (seviye 6) içerir.
UniqueEraserBundle,items,item,,[F0B18A]Legendary[-] [FFB800]«Eraser»[-],[F0B18A]Efsanevi[-] [FFB800]«Silgi»[-]
UniqueEraserBundleDesc,items,item,,Contains a unique [FFB800]«Eraser»[-] automatic shotgun (tier 6) with a random property.,Rastgele bir özelliğe sahip benzersiz bir [FFB800]«Silgi»[-] otomatik pompalı tüfek (seviye 6) içerir.
UniqueGausBundle,items,item,,[F0B18A]Legendary[-] [FFB800]«Gaus»[-],[F0B18A]Efsanevi[-] [FFB800]«Gaus»[-]
UniqueGausBundleDesc,items,item,,Contains a unique [FFB800]«Gaus»[-] sniper rifle (tier 6) with a random property.,Rastgele bir özelliğe sahip benzersiz bir [FFB800]«Gaus»[-] keskin nişancı tüfeği (seviye 6) içerir.
UniqueZingerBundle,items,item,,[F0B18A]Legendary[-] [FFB800]«Zinger»[-],[F0B18A]Efsanevi[-] [FFB800]«Zinger»[-]
UniqueZingerBundleDesc,items,item,,Contains a unique [FFB800]«Zinger»[-] submachine gun (tier 6) with a random property.,Rastgele bir özelliğe sahip benzersiz bir [FFB800]«Zinger»[-] hafif makineli tüfek (seviye 6) içerir.
UniqueCombistickBundle,items,item,,[F0B18A]Legendary[-] [FFB800]«Combistick»[-],[F0B18A]Efsanevi[-] [FFB800]«Kombistik»[-]
UniqueCombistickBundleDesc,items,item,,Contains a legendary [FFB800]«Combistick»[-] spear (tier 6) with a random property.,Rastgele bir özelliğe sahip efsanevi bir [FFB800]«Kombistik»[-] mızrak (seviye 6) içerir.
UniqueBarbarianBundle,items,item,,[F0B18A]Legendary[-] [FFB800]«Barbarian»[-],[F0B18A]Efsanevi[-] [FFB800]«Barbar»[-]
UniqueBarbarianBundleDesc,items,item,,Contains a legendary [FFB800]«Barbarian»[-] axe (tier 6) with a random property.,Rastgele bir özelliğe sahip efsanevi bir [FFB800]«Barbar»[-] balta (seviye 6) içerir.
UniqueDestructorBundle,items,item,,[F0B18A]Legendary[-] [FFB800]«Destructor»[-],[F0B18A]Efsanevi[-] [FFB800]«Yıkıcı»[-]
UniqueDestructorBundleDesc,items,item,,Contains a legendary [FFB800]«Destructor»[-] sledgehammer (tier 6) with a random property.,Rastgele bir özelliğe sahip efsanevi bir [FFB800]«Yıkıcı»[-] balyoz (seviye 6) içerir.
UniqueMausClawsBundle,items,item,,[F0B18A]Legendary[-] [FFB800]«Maus Claws»[-],[F0B18A]Efsanevi[-] [FFB800]«Maus Pençeleri»[-]
UniqueMausClawsBundleDesc,items,item,,Contains legendary [FFB800]«Maus Claws»[-] knuckles (tier 6) with a random property.,Rastgele bir özelliğe sahip efsanevi [FFB800]«Maus Pençeleri»[-] eklemlerini (seviye 6) içerir.
UniqueIndianaBundle,items,item,,[F0B18A]Legendary[-] [FFB800]«Indiana»[-],[F0B18A]Efsanevi[-] [FFB800]«Indiana»[-]
UniqueIndianaBundleDesc,items,item,,Contains a legendary [FFB800]«Indiana»[-] machete (tier 6) with a random property.,Rastgele bir özelliğe sahip efsanevi bir [FFB800]«Indiana»[-] pala (seviye 6) içerir.
UniqueFlugenBundle,items,item,,[F0B18A]Legendary[-] [FFB800]«Flugen»[-],[F0B18A]Efsanevi[-] [FFB800]«Flugen»[-]
UniqueFlugenBundleDesc,items,item,,Contains a legendary [FFB800]«Flugen»[-] Stun Baton (tier 6) with a random property.,Rastgele bir özelliğe sahip efsanevi bir [FFB800]«Flugen»[-] Sersemletme Batonu (seviye 6) içerir.
xuiAccessories,UI,XUI,,Accessories,Aksesuarlar
statLootStage2,ui_display,Item stat,,Loot Bonus (Main),Ganimet Bonusu (Ana)
statWeaponHandling,ui_display,Item stat,,Weapon handling,Silah kullanımı
statControlResist,ui_display,Item stat,,"Resistance (Stun, Shock)","Direnç (Sersemletme, Şok)"
statCritResist,ui_display,Item stat,,Critical hit resistance,Kritik vuruş direnci
statFoodWaterUseAOE,ui_display,Item stat,,Food/water loss (self and party),Yiyecek/su kaybı (kendisi ve parti)
statCarryCapacityAOE,ui_display,Item stat,,Carrying capacity (self and party),Taşıma kapasitesi (kendi ve parti)
statRegHealthIncreaseSpeedAOE,ui_display,Item stat,,Health regen speed (self and party),Sağlık yenilenme hızı (kişisel ve parti)
statLootQuantityFood,ui_display,Item stat,,Food and medicine in loot (self and party),Ganimetteki yiyecek ve ilaç (kişisel ve parti)
statRunSpeedAOE,ui_display,Item stat,,Run speed (self and party),Koşu hızı (kendi kendine ve parti)
statEliteDamage,ui_display,Item stat,,"Damage bonus (elite, minions)","Hasar bonusu (elit, minyonlar)"
statBossDamage,ui_display,Item stat,,Damage bonus (bosses),Hasar bonusu (patronlar)
statDegradationPerUseDU,ui_display,Item stat,,Degradation per use,Kullanım başına bozulma
statDamageTrap,ui_display,Item stat,,Trap damage,Tuzak hasarı
statPlayerExpGainHarvesting,ui_display,Item stat,,XP gain: Harvesting,XP kazancı: Hasat
statTempResist,ui_display,Item stat,,Temperature resistance,Sıcaklık direnci
statPerkPlunderer,ui_display,Item stat,,Theft of valuables,Değerli eşyaların çalınması
statVehicleSpeed,ui_display,Item stat,,Vehicle speed,Araç hızı
statSonnyRareRecources,ui_display,Item stat,,Rare spare parts,Nadir yedek parçalar
statPoisoningResist,ui_display,Item stat,,Poison Resistance,Poison Resistance
PerkPlundererSuccess,buffs,Buff,,Theft,Hırsızlık
Cardio,buffs,Buff,,Cardio,Kardiyo
buffTrainingCardioName,buffs,buff,,Training,Eğitim
buffTrainingCardioTooltip,buffs,buff,,You are doing cardio training,Kardiyo antrenmanı yapıyorsun
buffTrainingCardioDesc,buffs,Buff,,A healthy mind in a healthy body. You are doing a cardio workout. Every second you lose Obesity (if you have it) or develop the Athletic Physique skill.,Sağlıklı bir vücutta sağlıklı bir zihin. Kardiyo egzersizi yapıyorsunuz. Her saniye Obeziteyi kaybedersiniz (eğer varsa) veya Atletik Fizik yeteneğinizi geliştirirsiniz.
Loads,buffs,Buff,,Loads,Yükler
buffTrainingLoadsName,buffs,buff,,Training,Eğitim
buffTrainingLoadsTooltip,buffs,buff,,You are doing a training session with loads,Yüklü bir antrenman seansı yapıyorsunuz
buffTrainingLoadsDesc,buffs,Buff,,You are training with loads. Every second you get rid of Obesity or Dystrophy (if you have them) or develop the Bodybuilder skill.,Yüklerle antrenman yapıyorsunuz. Her saniye Obezite veya Distrofiden (eğer varsa) kurtulursunuz veya Vücut Geliştirmeci becerisini geliştirirsiniz.
Resuscitation,buffs,Buff,,Resuscitation,Resüsitasyon
Prevention,buffs,Buff,,Prevention,Önleme
Treatment,buffs,Buff,,Treatment,Tedavi
buffHospitalBed,buffs,buff,,Medical bed,Tıbbi yatak
buffHospitalBedTooltip,buffs,buff,,You restore your health,Sağlığınıza kavuşursunuz
buffHospitalBedPreventionDesc,buffs,Buff,,"Injury prevention helps you recover. Every [DECEA3]3 seconds[-] you restore [DECEA3]1 point[-] of health, and your critical wound recovery speed is increased by [DECEA3]50%[-].","Yaralanmaların önlenmesi iyileşmenize yardımcı olur. Her [DECEA3]3 saniyede[-], [DECEA3]1 puanlık sağlığı[-] yenilersiniz ve kritik yara iyileşme hızınız [DECEA3]%50[-] artar."
buffHospitalBedTreatmentDesc,buffs,Buff,,"Active healing aids your recovery. Every [DECEA3]3 seconds[-] you restore [DECEA3]1 health[-], and your critical wound recovery speed is increased by [DECEA3]50%[-]. You can resist infection.[DECEA3]Install the Medical Crate bonus storage to increase your recovery bonus. The enhanced healing will also help treat infections.[-]","Aktif şifa, iyileşmenize yardımcı olur. Her [DECEA3]3 saniyede[-], [DECEA3]1 sağlığı[-] yenilersiniz ve kritik yara iyileşme hızınız [DECEA3]50%[-] artar. Enfeksiyona karşı direnebilirsiniz.[DECEA3]İyileşme bonusunuzu artırmak için Tıbbi Sandık bonus deposunu yükleyin. Gelişmiş iyileşme aynı zamanda enfeksiyonların tedavisine de yardımcı olacaktır.[-]"
buffHospitalBedResuscitationDesc,buffs,Buff,,"Resuscitation will quickly get you back on your feet even after sustaining any damage. Every [DECEA3]3 seconds[-] you restore [DECEA3]6 units[-] of health, and the speed of critical wound recovery is increased by [DECEA3]150%[-]. You are recovering from infection.","Resüsitasyon, herhangi bir hasara maruz kaldıktan sonra bile sizi hızla ayağa kaldıracaktır. Her [DECEA3]3 saniyede[-] [DECEA3]6 birim[-] sağlığı yenilersiniz ve kritik yara iyileşme hızı [DECEA3]150%[-] artar. Enfeksiyondan iyileşiyorsunuz."
Education,buffs,Buff,,Education,Eğitim
buffNerdDeskName,buffs,buff,,Education,Eğitim
buffNerdDeskTooltip,buffs,buff,,You are learning,öğreniyorsun
buffNerdDeskDesc,buffs,Buff,,"You are learning.\nEvery [DECEA3]3[-] seconds you gain a little experience if you hold a book, magazine, or recipe.\nThe effect is doubled if the «Master of Intelligenceа» skill is level 4 or higher.\nAlso, the chance to gain an additional skill point when reading magazines is increased by [DECEA3]5%[-].","Öğreniyorsunuz.\nElinizde bir kitap, dergi veya yemek tarifi tutarsanız her [DECEA3]3[-] saniyede biraz deneyim kazanırsınız.\nEğer «Zeka Ustası» becerisi seviye 4 veya daha yüksekse etki iki katına çıkar.\nAyrıca, dergi okurken ek beceri puanı kazanma şansı [DECEA3]5%[-] artar."
buffNerdTableName,buffs,buff,,Advanced learning,Gelişmiş öğrenme
buffNerdTableTooltip,buffs,buff,,You are engaged in advanced learning,İleri düzey öğrenimle meşgulsünüz
buffNerdTableDesc,buffs,Buff,,"You are engaged in advanced learning.\nEvery [DECEA3]3[-] seconds you gain a little experience if you hold a book, magazine, or recipe.\nThe effect is doubled if the «Master of Intelligence» skill is level 4 or higher.\nAlso, the chance to gain an additional skill point when reading magazines is increased by [DECEA3]10%[-].","İleri düzeyde öğrenmeyle meşgul olursunuz.\nElinizde bir kitap, dergi veya yemek tarifi tutarsanız her [DECEA3]3[-] saniyede biraz deneyim kazanırsınız.\nEğer «Zeka Ustası» becerisi seviye 4 veya daha yüksekse etki iki katına çıkar.\nAyrıca, dergi okurken ek beceri puanı kazanma şansı [DECEA3]5%[-] artar."
buffHygiene,buffs,Buff,,Hygiene,Hijyen
Cleaning,buffs,Buff,,Cleaning,Temizlik
Relax,buffs,Buff,,Relax,Rahatlamak
Relief,buffs,Buff,,Relief,Rahatlama
buffHygieneBaseTooltip,buffs,Buff,,You wash your face,Yüzünü yıkıyorsun
buffHygieneBaseDesc,buffs,Buff,,Now you can wash away all the stuck-on dirt.\nYou restore your hygiene and recover from accumulated radiation faster.\n\n[DECEA3]The effect of using regular and wet wipes is doubled.[-],Artık yapışan tüm kirleri yıkayabilirsiniz.\nHijyeninizi geri kazanırsınız ve biriken radyasyondan daha hızlı kurtulursunuz.\n\n[DECEA3]Normal ve ıslak mendil kullanmanın etkisi iki katına çıkar.[-]
buffBathRelaxTooltip,buffs,Buff,,You are taking a relaxing bath,Rahatlatıcı bir banyo yapıyorsunuz
buffBathRelaxDesc,buffs,Buff,,"A good bath during the apocalypse is the best thing that can happen. It not only helps wash away all the dirt but also gets rid of negative thoughts. Your hygiene is restored significantly faster, and you also regain your resistance to stress. You get rid of accumulated radiation faster.[DECEA3]The effect of using regular and wet wipes is doubled. [-]","Kıyamet sırasında güzel bir banyo olabilecek en iyi şeydir. Sadece tüm kirlerin temizlenmesine yardımcı olmakla kalmaz, aynı zamanda olumsuz düşüncelerden de kurtulmanızı sağlar. Hijyeniniz çok daha hızlı bir şekilde geri kazanılır ve aynı zamanda strese karşı direncinizi de yeniden kazanırsınız. Birikmiş radyasyondan daha hızlı kurtulursunuz.[DECEA3]Normal ve ıslak mendil kullanmanın etkisi iki katına çıkar. [-]"
buffToilet,buffs,Buff,,Toilet,Tuvalet
buffToiletReliefTooltip,buffs,Buff,,You are relieving yourself,Kendini rahatlatıyorsun
buffToiletReliefDesc,buffs,Buff,,"This is the most important thing at any time, even more important than a zombie apocalypse. You can relieve yourself comfortably, but don't forget about hygiene. Dysentery passes much faster and there are no bouts of diarrhea. [DECEA3]Pick up some interesting literature and spend your time productively.[-]","Bu her zaman için en önemli şeydir, hatta zombi kıyametinden bile daha önemlidir. Rahatça tuvaletinizi yapabilirsiniz ancak hijyeni de unutmayın. Dizanteri çok daha hızlı geçer ve ishal görülmez. [DECEA3]Birkaç ilginç literatür alın ve zamanınızı verimli bir şekilde geçirin.[-]"
buffToiletRelaxTooltip,buffs,Buff,,You relieve yourself wisely,Akıllıca kendini rahatlatıyorsun
buffToiletRelaxDesc,buffs,Buff,,"Going to the bathroom is a healthy activity, but it's doubly enjoyable with something interesting to read. You can relieve yourself comfortably. Dysentery passes significantly faster, and there are no bouts of diarrhea. You regain your stress tolerance. [DECEA3]Don't forget to wash your hands.[-]","Tuvalete gitmek sağlıklı bir aktivitedir, ancak ilginç bir şeyler okumak iki kat daha keyiflidir. Rahatlıkla rahatlayabilirsiniz. Dizanteri çok daha hızlı geçer ve ishal görülmez. Stres toleransınızı yeniden kazanırsınız. [DECEA3]Ellerinizi yıkamayı unutmayın.[-]"
resourceSpices,items,item,,Spices,Baharat
resourceSpicesDesc,items,item,,"With these herbs, any food will be much tastier. Used to create complex lunches.",Bu şifalı bitkilerle her türlü yiyecek çok daha lezzetli olacaktır. Karmaşık öğle yemekleri oluşturmak için kullanılır.
LunchIntelligenceT1,items,item,,[5AFF75]Small[-] Lunch «Perception of the World»,[5AFF75]Küçük[-] Öğle Yemeği «Dünya Algısı»
LunchIntelligenceT1Desc,items,item,,A small set meal that greatly improves your perception of the world around you.\n\nBONUSES WHEN CONSUMED:\n- Bonus to stamina [DECEA3]20[-]\n- Bonus to the level of the attribute «Perception» [DECEA3]+1[-]\n- Bonus to loot speed [DECEA3]10%[-]\n- Bonus to loot quality [DECEA3]5[-]\n- Bonus to damage of sniper rifles and explosives [DECEA3]+5%[-]\n- Bonus to spear damage [DECEA3]+10%[-]\n\nHalf of the food and water supply is restored instantly.,Etrafınızdaki dünyaya dair algınızı büyük ölçüde geliştiren küçük bir set yemek.\n\nTÜKETİLDİĞİNDEKİ BONUSLAR:\n- Dayanıklılık bonusu [DECEA3]20[-]\n- «Algı» özelliğinin düzeyine bonus [DECEA3]+1[-]\n- Yağma hızı bonusu [DECEA3]%10[-]\n- Yağma kalitesi bonusu [DECEA3]5[-]\n- Hasar bonusu keskin nişancı tüfekleri ve patlayıcılar [DECEA3]+%5[-]\n- Mızrak hasarına bonus [DECEA3]+%10[-]\n\nYiyecek ve su kaynaklarının yarısı anında yenilenir.
buffIntelligenceT1Name,buffs,buff,,[5AFF75]Small[-] Lunch «Perception of the World»,[5AFF75]Küçük[-] Öğle Yemeği «Dünya Algısı»
buffIntelligenceT1Tooltip,buffs,buff,,You ate the small lunch «Perception of the World»,"Dünya Algısı"""" adlı küçük öğle yemeğini yediniz"
buffIntelligenceT1Desc,buffs,Buff,,A small set meal that greatly improves your perception of the world around you.\n\nBONUSES WHEN CONSUMED:\n- Bonus to stamina [DECEA3]20[-]\n- Bonus to the level of the attribute «Perception» [DECEA3]+1[-]\n- Bonus to loot speed [DECEA3]10%[-]\n- Bonus to loot quality [DECEA3]5[-]\n- Bonus to damage of sniper rifles and explosives [DECEA3]+5%[-]\n- Bonus to spear damage [DECEA3]+10%[-]\n\nHalf of the food and water supply is restored instantly.,Etrafınızdaki dünyaya dair algınızı büyük ölçüde geliştiren küçük bir set yemek.\n\nTÜKETİLDİĞİNDEKİ BONUSLAR:\n- Dayanıklılık bonusu [DECEA3]20[-]\n- «Algı» özelliğinin düzeyine bonus [DECEA3]+1[-]\n- Yağma hızı bonusu [DECEA3]%10[-]\n- Yağma kalitesi bonusu [DECEA3]5[-]\n- Hasar bonusu keskin nişancı tüfekleri ve patlayıcılar [DECEA3]+%5[-]\n- Mızrak hasarına bonus [DECEA3]+%10[-]\n\nYiyecek ve su kaynaklarının yarısı anında yenilenir.
LunchIntelligenceT2,items,item,,[8692FF]Medium[-] Lunch «Perception of the World»,[8692FF]Orta[-] Öğle Yemeği «Dünya Algısı»
LunchIntelligenceT2Desc,items,item,,A medium set meal that greatly improves your perception of the world around you.\n\nBONUSES WHEN CONSUMED:\n- Bonus to stamina and health [DECEA3]20[-]\n- Bonus to the level of the attribute «Perception» [DECEA3]+2[-]\n- Bonus to the passive skill «Wasteland» [DECEA3]+1[-]\n- Bonus to loot speed [DECEA3]20%[-]\n- Bonus to loot quality [DECEA3]10[-]\n- Bonus to damage of sniper rifles and explosives [DECEA3]+15%[-]\n- Bonus to spear damage [DECEA3]+30%[-]\n\nHalf of the food and water supply is restored instantly.,Etrafınızdaki dünyaya dair algınızı büyük ölçüde geliştiren orta boy bir yemek.\n\nTÜKETİLDİĞİNDEKİ BONUSLAR:\n- Dayanıklılık ve sağlık bonusu [DECEA3]20[-]\n- «Algı» özelliğinin düzeyine bonus [DECEA3]+2[-]\n- Pasif beceri «Çorak Ülke» [DECEA3]+1[-]\n- Yağma hızı bonusu [DECEA3]%20[-]\n- Yağma kalitesine bonus [DECEA3]10[-]\n- Keskin nişancı tüfeklerine ve patlayıcılara verilen hasara bonus [DECEA3]+%15[-]\n- Mızrak hasarına bonus [DECEA3]+%30[-]\n\nYiyecek ve su kaynaklarının yarısı anında yenilenir.
buffIntelligenceT2Name,buffs,buff,,[8692FF]Medium[-] Lunch «Perception of the World»,[8692FF]Orta[-] Öğle Yemeği «Dünya Algısı»
buffIntelligenceT2Tooltip,buffs,buff,,You ate the medium lunch «Perception of the World»,«Dünya Algısı» adlı orta boy öğle yemeğini yediniz
buffIntelligenceT2Desc,buffs,Buff,,A medium set meal that greatly improves your perception of the world around you.\n\nBONUSES WHEN CONSUMED:\n- Bonus to stamina and health [DECEA3]20[-]\n- Bonus to the level of the attribute «Perception» [DECEA3]+2[-]\n- Bonus to the passive skill «Wasteland» [DECEA3]+1[-]\n- Bonus to loot speed [DECEA3]20%[-]\n- Bonus to loot quality [DECEA3]10[-]\n- Bonus to damage of sniper rifles and explosives [DECEA3]+15%[-]\n- Bonus to spear damage [DECEA3]+30%[-]\n\nHalf of the food and water supply is restored instantly.,Etrafınızdaki dünyaya dair algınızı büyük ölçüde geliştiren orta boy bir yemek.\n\nTÜKETİLDİĞİNDEKİ BONUSLAR:\n- Dayanıklılık ve sağlık bonusu [DECEA3]20[-]\n- «Algı» özelliğinin düzeyine bonus [DECEA3]+2[-]\n- Pasif beceri «Çorak Ülke» [DECEA3]+1[-]\n- Yağma hızı bonusu [DECEA3]%20[-]\n- Yağma kalitesine bonus [DECEA3]10[-]\n- Keskin nişancı tüfeklerine ve patlayıcılara verilen hasara bonus [DECEA3]+%15[-]\n- Mızrak hasarına bonus [DECEA3]+%30[-]\n\nYiyecek ve su kaynaklarının yarısı anında yenilenir.
LunchIntelligenceT3,items,item,,[FFB800]Big[-] Lunch «Perception of the World»,[FFB800]Büyük[-] Öğle Yemeği «Dünya Algısı»
LunchIntelligenceT3Desc,items,item,,A large set meal that greatly improves your perception of the world around you.\n\nBONUSES WHEN CONSUMED:\n- Bonus to stamina and health [DECEA3]40[-]\n- Bonus to the level of the attribute «Perception» [DECEA3]+3[-]\n- Bonus to the passive skill «Wasteland» [DECEA3]+2[-]n- Bonus to loot quality [DECEA3]20[-]\n- Bonus to damage of sniper rifles and explosives [DECEA3]+25%[-]\n- Bonus to spear damage [DECEA3]+50%[-]\n\nHalf of the food and water supply is restored instantly.,Etrafınızdaki dünyaya dair algınızı büyük ölçüde geliştiren büyük bir set yemek.\n\nTÜKETİLDİĞİNDEKİ BONUSLAR:\n- Dayanıklılık ve sağlık bonusu [DECEA3]40[-]\n- «Algı» özelliğinin düzeyine bonus [DECEA3]+3[-]\n- Pasif beceri «Çorak Ülke» [DECEA3]+2[-]\n- Yağma hızı bonusu [DECEA3]%30[-]\n- Yağma kalitesine bonus [DECEA3]20[-]\n- Keskin nişancı tüfeklerine ve patlayıcılara verilen hasara bonus [DECEA3]+%25[-]\n- Mızrak hasarına bonus [DECEA3]+%50[-]\n\nYiyecek ve su kaynaklarının yarısı anında yenilenir.
buffIntelligenceT3Name,buffs,buff,,[FFB800]Big[-] Lunch «Perception of the World»,[FFB800]Büyük[-] Öğle Yemeği «Dünya Algısı»
buffIntelligenceT3Tooltip,buffs,buff,,You ate the large lunch «Perception of the World»,"Dünya Algısı"""" adlı büyük öğle yemeğini yediniz"
buffIntelligenceT3Desc,buffs,Buff,,A large set meal that greatly improves your perception of the world around you.\n\nBONUSES WHEN CONSUMED:\n- Bonus to stamina and health [DECEA3]40[-]\n- Bonus to the level of the attribute «Perception» [DECEA3]+3[-]\n- Bonus to the passive skill «Wasteland» [DECEA3]+2[-]\n- Bonus to loot quality [DECEA3]20[-]\n- Bonus to damage of sniper rifles and explosives [DECEA3]+25%[-]\n- Bonus to spear damage [DECEA3]+50%[-]\n- Bonus to temperature resistance while in the Wasteland [DECEA3]10[-]\n\nHalf of the food and water supply is restored instantly.,Etrafınızdaki dünyaya dair algınızı büyük ölçüde geliştiren büyük bir set yemek.\n\nTÜKETİLDİĞİNDEKİ BONUSLAR:\n- Dayanıklılık ve sağlık bonusu [DECEA3]40[-]\n- «Algı» özelliğinin düzeyine bonus [DECEA3]+3[-]\n- Pasif beceri «Çorak Ülke» [DECEA3]+2[-]\n- Yağma hızı bonusu [DECEA3]%30[-]\n- Yağma kalitesine bonus [DECEA3]20[-]\n- Keskin nişancı tüfeklerine ve patlayıcılara verilen hasara bonus [DECEA3]+%25[-]\n- Mızrak hasarına bonus [DECEA3]+%50[-]\n- Çorak Topraktayken sıcaklık direncine bonus [DECEA3]10[-]\n\nYiyecek ve su kaynaklarının yarısı anında yenilenir.
LunchStrengthT1,items,item,,[5AFF75]Small[-] Lunch «Strongman»,[5AFF75]Küçük[-] Öğle Yemeği «Güçlü Adam»
LunchStrengthT1Desc,items,item,,A small set meal that greatly improves your Strength skills.\n\nBONUSES WHEN CONSUMED:\n- Bonus to stamina [DECEA3]20[-]\n- Bonus to the level of the attribute «Strength» [DECEA3]+1[-]\n- Block damage and resource yield increased by [DECEA3]5%[-]\n- Bonus to shotgun damage [DECEA3]+5%[-]\n- Bonus to club and sledgehammer damage [DECEA3]+10%[-]\n\nHalf of the food and water supply is restored instantly.,Güç becerilerinizi büyük ölçüde geliştiren küçük bir set yemek.\n\nTÜKETİLDİĞİNDEKİ BONUSLAR:\n- Dayanıklılık bonusu [DECEA3]20[-]\n- «Güç» özelliğinin seviyesine bonus [DECEA3]+1[-]\n- Blok hasarı ve kaynak verimi [DECEA3]%5[-] arttı\n- Pompalı tüfek hasarı bonusu [DECEA3]+%5[-]\n- Sopa bonusu ve balyoz hasarı [DECEA3]+%10[-]\n\nYiyecek ve su kaynaklarının yarısı anında yenilenir.
buffStrengthT1Name,buffs,buff,,[5AFF75]Small[-] Lunch «Strongman»,[5AFF75]Küçük[-] Öğle Yemeği «Güçlü Adam»
buffStrengthT1Tooltip,buffs,buff,,You ate the small lunch «Strongman»,"Güçlü Adam"""" adlı küçük öğle yemeğini yediniz"
buffStrengthT1Desc,buffs,Buff,,A small set meal that greatly improves your Strength skills.\n\nBONUSES WHEN CONSUMED:\n- Bonus to stamina [DECEA3]20[-]\n- Bonus to the level of the attribute «Strength» [DECEA3]+1[-]\n- Block damage and resource yield increased by [DECEA3]5%[-]\n- Bonus to shotgun damage [DECEA3]+5%[-]\n- Bonus to club and sledgehammer damage [DECEA3]+10%[-]\n\nHalf of the food and water supply is restored instantly.,Güç becerilerinizi büyük ölçüde geliştiren küçük bir set yemek.\n\nTÜKETİLDİĞİNDEKİ BONUSLAR:\n- Dayanıklılık bonusu [DECEA3]20[-]\n- «Güç» özelliğinin seviyesine bonus [DECEA3]+1[-]\n- Blok hasarı ve kaynak verimi [DECEA3]%5[-] arttı\n- Pompalı tüfek hasarı bonusu [DECEA3]+%5[-]\n- Sopa bonusu ve balyoz hasarı [DECEA3]+%10[-]\n\nYiyecek ve su kaynaklarının yarısı anında yenilenir.
LunchStrengthT2,items,item,,[8692FF]Medium[-] Lunch «Strongman»,[8692FF]Orta[-] Öğle Yemeği «Güçlü Adam»
LunchStrengthT2Desc,items,item,,A medium set meal that greatly improves your Strength skills.\n\nBONUSES WHEN CONSUMED:\n- Bonus to stamina and health [DECEA3]20[-]\n- Bonus to the level of the attribute «Strength» [DECEA3]+2[-]\n- Bonus to the passive skill «Winter» [DECEA3]+1[-]\n- Block damage and resource yield increased by [DECEA3]15%[-]\n- Bonus to shotgun damage [DECEA3]+15%[-]\n- Bonus to club and sledgehammer damage [DECEA3]+30%[-]\n\nHalf of the food and water supply is restored instantly.,"Güç becerilerinizi büyük ölçüde geliştiren, orta düzeyde bir yemek.\n\nTÜKETİLDİĞİNDEKİ BONUSLAR:\n- Dayanıklılık ve sağlık bonusu [DECEA3]20[-]\n- «Güç» özelliğinin düzeyine bonus [DECEA3]+2[-]\n- Pasif beceri «Kış» [DECEA3]+1[-]\n- Blok hasarı ve kaynak verimi şu oranda artırıldı: [DECEA3]%15[-]\n- Pompalı tüfek hasarına bonus [DECEA3]+%15[-]\n- Sopa ve balyoz hasarına bonus [DECEA3]+%30[-]\n\nYiyecek ve su kaynaklarının yarısı anında yenilenir."
buffStrengthT2Name,buffs,buff,,[8692FF]Medium[-] Lunch «Strongman»,[8692FF]Orta[-] Öğle Yemeği «Güçlü Adam»
buffStrengthT2Tooltip,buffs,buff,,You ate the medium lunch «Strongman»,"Strongman"""" orta boy öğle yemeğini yediniz"
