Key,Source,Context,Changes,English,Schinese
BuffAlexAOE,buffs,Buff,,Alex,亚历克斯
BuffAlexAOETooltip,buffs,buff,,Alex is on the hunt,亚历克斯正在狩猎
BuffAlexAOEIncDesc,buffs,Buff,,"This is the body of a stalker. He has been buried and mourned many times, but each time he returned — alive, but battered. This time, it seems, everything is different... Or is it?\n\n[FFB800]SPECIAL PROPERTIES:[-]\nHe is unaffected by terrain slowdowns. He never liked to share, and now he will not give up his loot so easily ([DECEA3]50%[-] chance to get loot).\n\n[FFB800]SPECIAL STATE:[-]\nWhen his health drops below [DECEA3]50%[-], there is a [DECEA3]50%[-] chance he will summon his shadow — a particularly vile and annoying creature.\nBe careful!",这是跟踪者的尸体。他曾多次被埋葬和哀悼，但每次他回来时都活着，但都受到了重创。这一次，一切似乎都不同了……或者是吗？\n\n[FFB800]特殊属性：[-]\n他不受地形减速的影响。他从来不喜欢分享，现在他不会那么轻易放弃他的战利品（[DECEA3]50%[-]获得战利品的机会）。\n\n[FFB800]特殊状态：[-]\n当他的生命值低于[DECEA3]50%[-]时，他有[DECEA3]50%[-]的机会召唤他的影子——一种特别邪恶和令人讨厌的生物。\n小心！
BuffBibaAOE,buffs,Buff,,Biba,比巴
BuffBibaAOETooltip,buffs,buff,,Biba is on the hunt,比巴正在狩猎
BuffBibaAOEIncDesc,buffs,Buff,,"He is a living legend of these lands. Perhaps the only one, but what a legend! Others learn to survive and win by his example.\n\n[FFB800]SPECIAL PROPERTIES:[-]\nHe is unaffected by terrain slowdowns, and he grants slowdown resistance to all nearby zombies. Each attack from his gang restores [DECEA3]150[-] health to them. They do love to eat.\n\n[FFB800]SPECIAL STATE:[-]\nWhen his health drops below [DECEA3]50%[-], he increases the movement speed of all zombies by [DECEA3]20%[-], and their health restoration from attacks rises to [DECEA3]250[-]\n\nA particularly dangerous and annoying creature. Be careful!",他是这片土地上活生生的传奇人物。也许是唯一的一个，但这是多么传奇啊！其他人以他的榜样学习生存和获胜。\n\n[FFB800]特殊属性：[-]\n他不受地形减速的影响，并且为附近的所有僵尸提供减速抵抗力。他的帮派的每次攻击都会恢复[DECEA3]150[-]的生命值。他们确实很爱吃。\n\n[FFB800]特殊状态：[-]\n当他的生命值低于[DECEA3]50%[-]时，他将所有僵尸的移动速度提高[DECEA3]20%[-]，并且他们的攻击恢复生命值上升到[DECEA3]250[-]\n\n一种特别危险且令人讨厌的生物。当心！
buffDevourerAOE,buffs,Buff,,Devourer,吞噬者
BuffDevourerAOETooltip,buffs,buff,,The Devourer is on the hunt,吞噬者正在狩猎
BuffDevourerAOEIncDesc,buffs,Buff,,You have heard of him in the nightmares of experienced wanderers. Now he is here. The very sight of this creature chills the soul and paralyzes the will. If you are not ready to face this horror face to face — LEAVE!\n\n[FFB800]SPECIAL PROPERTIES:[-]\nThis creature never walks alone and is able to summon its minions in times of danger.\nAdditional weak sanity drain every second while you are nearby.\n\nYour vision goes dark and everything starts spinning. But you can still RUN!!!,你在经验丰富的流浪者的噩梦中听说过他。现在他来了。看到这种生物就让人心寒、意志麻痹。如果你还没准备好面对面面对这个恐怖——离开！\n\n[FFB800]特殊属性：[-]\n该生物从不独行，能够在危险时召唤它的爪牙。\n当您在附近时，每秒会消耗额外的弱理智值。\n\n你的视野变暗，一切都开始旋转。但你仍然可以跑！
BuffBearDaddyAOE,buffs,Buff,,Bear Daddy,熊爸爸
BuffBearDaddyAOETooltip,buffs,buff,,Bear Daddy is on the hunt,熊爸爸正在狩猎
BuffBearDaddyAOEIncDesc,buffs,Buff,,"You have heard of him in the nightmares of experienced wanderers. Now he is here. The very sight of this creature terrifies you. If you are not ready to face this horror face to face — LEAVE!\n\n[FFB800]SPECIAL PROPERTIES:[-]\nBear Daddy never walks alone. If he senses danger, he can call minions.\nAdditional weak sanity drain every second while you are nearby.\n\nRUN!!! While your legs still remember how to move.",你在经验丰富的流浪者的噩梦中听说过他。现在他来了。看到这种生物就会让你感到恐惧。如果你还没准备好面对面面对这个恐怖——离开！\n\n[FFB800]特殊属性：[-]\n熊爸爸从不独行。如果他感觉到危险，他可以呼叫小兵。\n当您在附近时，每秒会消耗额外的弱理智值。\n\n运行！！！当你的腿仍然记得如何移动时。
BuffGargulAOE,buffs,Buff,,Gargul,石像鬼
BuffGargulAOETooltip,buffs,buff,,Gargul is on the hunt,加古尔正在狩猎
BuffGargulAOEIncDesc,buffs,Buff,,"They whispered about him around the campfires. Now he is here. His claws cast long shadows, and his breath smells of rotting lungs. You feel your mind betraying you — your heart pounds in your throat, your fingers go numb, and only one thought hammers in your temples...\nRUN. BEFORE IT'S TOO LATE.\n\n[FFB800]SPECIAL PROPERTIES:[-]\nGargul never flies alone. In danger, he calls others.\nNear him, you slowly go insane: sanity drains away with every second.\n\nRUN. While your legs still obey.",他们围着篝火低声议论着他。现在他来了。他的爪子投下长长的影子，他的呼吸充满了腐烂的肺部的味道。你感觉你的思想背叛了你——你的心跳到了喉咙，你的手指变得麻木，只有一个念头敲打着你的太阳穴……\nRUN。在为时已晚之前。\n\n[FFB800]特殊属性：[-]\nGargul永远不会单独飞行。遇到危险，他打电话给其他人。\n在他身边，你慢慢地变得疯狂：理智每一秒都在消失。\n\n运行。当你的腿仍然服从时。
BuffNagainaAOE,buffs,Buff,,Nagaina,Nagaina
BuffNagainaAOETooltip,buffs,buff,,The Nagaina is on the hunt,The Nagaina is on the hunt
BuffNagainaAOEDesc,buffs,Buff,,"Everyone thinks that truly large snakes are only found in the tropics. How wrong they are. It's hard to tell whether this is one snake or a cluster of several, but it's better not to look too closely. The very sight of this creature chills the soul and paralyzes the will. If you are not ready to face this horror face to face — LEAVE!\n\n[FFB800]SPECIAL PROPERTIES:[-]\nThis creature never walks alone and is able to summon its minions in times of danger.\nAdditional weak sanity drain every second while you are nearby.\n\nYour vision goes dark and everything starts spinning. But you can still RUN!!!","Everyone thinks that truly large snakes are only found in the tropics. How wrong they are. It's hard to tell whether this is one snake or a cluster of several, but it's better not to look too closely. The very sight of this creature chills the soul and paralyzes the will. If you are not ready to face this horror face to face — LEAVE!\n\n[FFB800]SPECIAL PROPERTIES:[-]\nThis creature never walks alone and is able to summon its minions in times of danger.\nAdditional weak sanity drain every second while you are nearby.\n\nYour vision goes dark and everything starts spinning. But you can still RUN!!!"
BuffBitchAOE,buffs,Buff,,Bitch,母狗
BuffBitchAOETooltip,buffs,buff,,Bitch is on the hunt,母狗正在狩猎
BuffBitchAOEIncDesc,buffs,Buff,,"This woman in a torn wedding dress knows no peace. Even zombies avoid her. And now she is looking right at you.\n\n[FFB800]SPECIAL PROPERTIES:[-]\nWhen taking damage, she flies into a hysteria, becoming even more dangerous.\nAdditional weak sanity drain every second while you are nearby.\n\nThe air turns icy, a wedding march rings in your ears. Don't look her in the eyes — RUN while your heart is still beating.",这个穿着撕破婚纱的女人不得安宁。连僵尸都会避开她。现在她正看着你。\n\n[FFB800]特殊属性：[-]\n当受到伤害时，她会陷入歇斯底里，变得更加危险。\n当您在附近时，每秒会消耗额外的弱理智值。\n\n空气变得冰冷，婚礼进行曲在耳边响起。不要看她的眼睛——趁你的心脏还在跳动时跑。
BuffMysticAOE,buffs,Buff,,Mystic,Mystic
BuffMysticAOETooltip,buffs,buff,,Mystic is on the hunt,Mystic is on the hunt
BuffMysticAOEIncDesc,buffs,Buff,,"A born hunter who leaves his prey no chance. He always appears out of nowhere and paralyzes his prey. And now his target is you.\n\n[FFB800]SPECIAL PROPERTIES:[-]\nYou are unaware of the miniboss's presence until you deal damage to him, or he deals damage to you. Only the radar can guarantee his detection. If he takes no damage and does not attack, he will soon disappear from sight again. Attacks from stealth are guaranteed to paralyze you and deal [DECEA3]300%[-] more damage. Attacks after detection still have a [DECEA3]25%[-] chance to paralyze you. While detected, the Mystic's movement speed is increased by [DECEA3]30%[-]. Immunity to paralysis.\nAdditional weak Stress Resistance drain per second while nearby.\n\nFear cannot be crushed even when you know he is there.","A born hunter who leaves his prey no chance. He always appears out of nowhere and paralyzes his prey. And now his target is you.\n\n[FFB800]SPECIAL PROPERTIES:[-]\nYou are unaware of the miniboss's presence until you deal damage to him, or he deals damage to you. Only the radar can guarantee his detection. If he takes no damage and does not attack, he will soon disappear from sight again. Attacks from stealth are guaranteed to paralyze you and deal [DECEA3]300%[-] more damage. Attacks after detection still have a [DECEA3]25%[-] chance to paralyze you. While detected, the Mystic's movement speed is increased by [DECEA3]30%[-].\nAdditional weak Stress Resistance drain per second while nearby.\n\nFear cannot be crushed even when you know he is there."
buffParalysis,buffs,Buff,,Paralysis,Paralysis
buffParalysisTooltip,buffs,buff,,You are paralyzed,You are paralyzed
buffParalysisDesc,buffs,Buff,,The poison instantly paralyzes your body.,The poison instantly paralyzes your body.
BuffBurningFleshAOE,buffs,Buff,,Burning Flesh,燃烧的肉体
BuffBurningFleshAOETooltip,buffs,buff,,Burning Flesh is on the hunt,燃烧之肉正在狩猎
BuffBurningFleshAOEIncDesc,buffs,Buff,,"No one knows what hides inside this blazing creature and why the flame never goes out. Anything that approaches it gets charred in its infernal heat. If you are not ready to face it, you'd better run.\n\n[FFB800]SPECIAL PROPERTIES:[-]\nWhen taking damage, it may ignite everything around it.\nAdditional weak sanity drain every second while you are nearby.\n\nThe air melts from the heat, metal smokes. Your skin blisters, and your consciousness clouds with pain. RUN while your flesh has not yet begun to smolder!",没有人知道这个燃烧的生物体内隐藏着什么，以及为什么火焰永远不会熄灭。任何接近它的东西都会被它的地狱般的热量烧焦。如果你还没准备好面对它，你最好逃跑。\n\n[FFB800]特殊属性：[-]\n当受到伤害时，它可能会点燃周围的一切。\n当您在附近时，每秒会消耗额外的弱理智值。\n\n空气受热融化，金属冒烟。你的皮肤起水泡，你的意识因疼痛而变得模糊。趁你的肉体还没有开始闷烧的时候跑吧！
BuffCholeraAOE,buffs,Buff,,Cholera,霍乱
BuffCholeraAOETooltip,buffs,buff,,Cholera is on the hunt,霍乱正在蔓延
BuffCholeraAOEIncDesc,buffs,Buff,,"This body is not just a zombie. It is a walking incubator of a deadly strain, the concentration of the virus that changed the world.\n\n[FFB800]SPECIAL PROPERTIES:[-]\nRadiation levels around the creature are significantly elevated. All nearby zombies gain increased resistance to physical damage.\nAdditional weak sanity drain every second while you are nearby.\n\nThe air thickens, instruments go off the scale. You feel radiation eating away at your body, and your consciousness clouds. RUN before your cells begin to mutate!",这个身体不只是僵尸。它是一种致命病毒的移动孵化器，这种病毒的浓度改变了世界。\n\n[FFB800]特殊属性：[-]\n该生物周围的辐射水平显着升高。附近所有僵尸对物理伤害的抵抗力都会增强。\n当您在附近时，每秒会消耗额外的弱理智值。\n\n空气变得粘稠，仪器失灵。你感觉到辐射正在侵蚀你的身体，你的意识也变得模糊。在你的细胞开始变异之前奔跑吧！
BuffMutantHogAOE,buffs,Buff,,Hog,猪
BuffMutantHogAOETooltip,buffs,buff,,Hog is on the hunt,猪正在狩猎
BuffMutantHogAOEIncDesc,buffs,Buff,,"Hunters told legends about him around campfires. Now those legends have become your nightmare. His skin writhes, forming a liquid armor with each wound. Bullets bounce off like peas from a wall, but steel... steel he still remembers.\n\n[FFB800]SPECIAL PROPERTIES:[-]\nEach wound strengthens the protective layer, making the creature immune to bullets. It is better to use melee weapons to kill this creature.\nAdditional weak sanity drain every second while you are nearby.\n\nIf you do not have a sharp blade and nerves of steel — RUN before the beast starts charging at you with the fury of a wounded animal.",猎人们在篝火旁讲述着关于他的传说。现在那些传说已经成为你的噩梦。他的皮肤扭动着，每一道伤口都形成了一层液体铠甲。子弹像豌豆从墙上弹开一样反弹，但钢……钢他仍然记得。\n\n[FFB800]特殊属性：[-]\n每个伤口都会强化保护层，使生物免疫子弹。最好使用近战武器来杀死这种生物。\n当您在附近时，每秒会消耗额外的弱理智值。\n\n如果你没有锋利的刀刃和钢铁般的意志——在野兽开始以受伤动物的愤怒冲向你之前逃跑。
BuffHarryAOE,buffs,Buff,,Harry,Harry
BuffHarryAOETooltip,buffs,buff,,Harry is on the hunt,Harry is on the hunt
BuffHarryAOEIncDesc,buffs,Buff,,"This creature is composed almost entirely of a molten substance. What could have caused such a mutation? It's best to think about it in a safe place. Think twice before engaging in battle.\n\n[FFB800]SPECIAL PROPERTIES:[-]\nThe boss scatters a molten substance around itself, setting enemies ablaze.\n\nThe flames scorch, and fear is impossible to hide. But the survival instinct screams: RUN! Before you get fried!","This creature is composed almost entirely of a molten substance. What could have caused such a mutation? It's best to think about it in a safe place. Think twice before engaging in battle.\n\n[FFB800]SPECIAL PROPERTIES:[-]\nThe boss scatters a molten substance around itself, setting enemies ablaze.\n\nThe flames scorch, and fear is impossible to hide. But the survival instinct screams: RUN! Before you get fried!"
BuffMummyAOE,buffs,Buff,,Mummy,Mummy
BuffMummyPhysicalAOETooltip,buffs,buff,,Mummy has acquired physical form,Mummy has acquired physical form
BuffMummyGhostAOETooltip,buffs,buff,,Mummy has acquired ghostly form,Mummy has acquired ghostly form
BuffMummyPhysicalAOEIncDesc,buffs,Buff,,"This creature is unlike anything else. [DECEA3]A mummy in physical form.[-] It's easy to hit with weapons, but judging by its claws, it can slice up its prey just as well as a seasoned sushi warrior. Think twice before engaging.\n\n[FFB800]SPECIAL PROPERTIES:[-]\nThe boss summons a swarm of mutated scarabs. The swarm infects everyone within a 3-meter radius and steals the life force of everyone in its path, restoring the Mummy's health. When damaged, it steals the life force of nearby players. Immunity to paralysis.\n\nIt's unclear how it can be killed. But if you haven't figured out how yet: RUN! While the strength is still in your body, not hers!","This creature is unlike anything else. [DECEA3]A mummy in physical form.[-] It's easy to hit with weapons, but judging by its claws, it can slice up its prey just as well as a seasoned sushi warrior. Think twice before engaging.\n\n[FFB800]SPECIAL PROPERTIES:[-]\nThe boss summons a swarm of mutated scarabs. The swarm infects everyone within a 3-meter radius and steals the life force of everyone in its path, restoring the Mummy's health. When damaged, it steals the life force of nearby players.\n\nIt's unclear how it can be killed. But if you haven't figured out how yet: RUN! While the strength is still in your body, not hers!"
BuffMummyGhostAOEIncDesc,buffs,Buff,,"This creature is unlike anything else. [DECEA3]A mummy in physical form.[-] It's easy to hit with weapons, but judging by its claws, it can slice up its prey just as well as a seasoned sushi warrior. Think twice before engaging.\n\n[FFB800]SPECIAL PROPERTIES:[-]\nThe boss summons a swarm of mutated scarabs. The swarm infects everyone within a 3-meter radius and steals the life force of everyone in its path, restoring the Mummy's health. When damaged, it steals the life force of nearby players. Immunity to paralysis.\n\nIt's unclear how it can be killed. But if you haven't figured out how yet: RUN! While the strength is still in your body, not hers!","This creature is unlike anything else. [DECEA3]A mummy in physical form.[-] It's easy to hit with weapons, but judging by its claws, it can slice up its prey just as well as a seasoned sushi warrior. Think twice before engaging.\n\n[FFB800]SPECIAL PROPERTIES:[-]\nThe boss summons a swarm of mutated scarabs. The swarm infects everyone within a 3-meter radius and steals the life force of everyone in its path, restoring the Mummy's health. When damaged, it steals the life force of nearby players.\n\nIt's unclear how it can be killed. But if you haven't figured out how yet: RUN! While the strength is still in your body, not hers!"
buffLifeStealPlayerName,buffs,buff,,Life Steal,Life Steal
buffLifeStealPlayerTooltip,buffs,buff,,The mummy steals your health,The mummy steals your health
buffLifeStealPlayerDesc,buffs,Buff,,"You are affected by the mummy's scarabs. Every second, you lose health and give it to the mummy.","You are affected by the mummy's scarabs. Every second, you lose health and give it to the mummy."
BuffBullAOE,buffs,Buff,,Bull,公牛
BuffBullAOETooltip,buffs,buff,,Bull is on the hunt,公牛正在狩猎
BuffBullAOEIncDesc,buffs,Buff,,"What do you get when you cross a strongman with a bull? Now you see the answer before you — and it is a nightmare of flesh and fury. This creature knows no fatigue, and its strikes flatten any fortifications. One direct hit — and you're done. Think three times before engaging in battle.\n\n[FFB800]SPECIAL PROPERTIES:[-]\nWhen the boss takes damage, he goes into a frenzy. Its movements speed up by [DECEA3]50%[-], attacks become [DECEA3]60%[-] more frequent, and each hit knocks you down. However, in this state, its damage resistance is reduced by [DECEA3]30%[-].\nPeriodically, the boss enters a full defense mode, creating a dangerous radiation zone around itself. In this state, it is completely invulnerable to any type of attack.\n\nThe lights go out, reality distorts. But survival instinct screams one thing: SAVE YOURSELF! While your bones are still intact!",当强人和公牛相遇时，你会得到什么？现在你看到了答案——这是一场血肉与愤怒的噩梦。这种生物不知疲倦，它的攻击可以摧毁任何防御工事。直接一击——你就完成了。参战前三思而后行。\n\n[FFB800]特殊属性：[-]\n当Boss受到伤害时，他会陷入疯狂。它的移动速度加快了[DECEA3]50%[-]，攻击变得更加频繁，每次攻击都会击倒你。但在此状态下，其伤害抗性会降低[DECEA3]30%[-]。\nBoss 会定期进入全面防御模式，在其周围创建一个危险的辐射区域。在这种状态下，它完全不受任何类型的攻击。\n\n灯光熄灭，现实扭曲。但生存本能呼唤一件事：救你自己！趁你的骨头还完好无损！
BuffShockerAOE,buffs,Buff,,Shocker,震惊
BuffShockerAOETooltip,buffs,buff,,Shocker is on the hunt,休克正在狩猎
BuffShockerAOEIncDesc,buffs,Buff,,"What happens if you connect an irradiated zombie to the grid? Apparently, someone decided to conduct this insane experiment! Now this creature emits deadly discharges. Even a brief approach to it threatens imminent death.\n\n[FFB800]SPECIAL PROPERTIES:[-]\nWhen the boss takes damage, he goes into a frenzy. Its movements speed up by [DECEA3]50%[-], attacks become [DECEA3]60%[-] more frequent, and each hit knocks you down. However, in this state, its damage resistance is reduced by [DECEA3]30%[-], opening a window for counterattack.\nPeriodically, the boss enters a full defense mode, creating a dangerous radiation zone around itself. In this state, it is completely invulnerable to any type of attack.\n\nThe air crackles with static, your hair stands on end, and your body convulses. RETREAT before your heart stops from the discharge!",如果将受辐射的僵尸连接到电网会发生什么？显然，有人决定进行这个疯狂的实验！现在这个生物会发出致命的放电。即使是短暂的接近它也会威胁到即将到来的死亡。\n\n[FFB800]特殊属性：[-]\n当Boss受到伤害时，他会陷入疯狂。它的移动速度加快了[DECEA3]50%[-]，攻击变得更加频繁，每次攻击都会击倒你。但在这种状态下，其伤害抗性降低了[DECEA3]30%[-]，打开了反击的窗口。\nBoss 会定期进入全面防御模式，在其周围创建一个危险的辐射区域。在这种状态下，它完全不受任何类型的攻击。\n\n空气中充满静电，你的头发竖起来，你的身体抽搐。在您的心脏因放电而停止跳动之前撤退！
BuffVeteranAOE,buffs,Buff,,Veteran,老将
BuffVeteranAOETooltip,buffs,buff,,Veteran is on the hunt,老兵正在狩猎
BuffVeteranAOEIncDesc,buffs,Buff,,"This creature once belonged to an elite unit. Beer and the virus did their job, but could not kill the combat instincts. Do not underestimate someone who spent decades honing their killing skills — even in this form. The brotherhood in arms turned out to be stronger than death, and now he is not alone.\n\n[FFB800]SPECIAL PROPERTIES:[-]\nApproaching him is dangerous — with a precise strike, he can knock the weapon out of your hands, discarding it like useless junk. Your weapon degrades twice as fast under his influence.\nPeriodically, the Boss calls in the brotherhood in arms! For its duration, all enemies within a [DECEA3]20[-] meter radius gain: [DECEA3]+25%[-] mobility and [DECEA3]-50%[-] incoming damage.\nAt the same time, physical damage resistance is reduced by [DECEA3]25%[-].\nAdditional weak sanity drain every second while you are nearby.\n\nIt smells of death and war. In your head — the echo of foreign commands. RUN AWAY while you still hold your weapon.",这种生物曾经属于一个精英部队。啤酒和病毒发挥了作用，但无法消灭战斗本能。不要低估一个花了几十年时间磨练杀戮技巧的人——即使是以这种形式。战火中的兄弟情谊原来比死亡更强大，现在他并不孤单。\n\n[FFB800]特殊属性：[-]\n接近他是危险的 - 通过精确的打击，他可以将武器从你手中击落，将其像无用的垃圾一样丢弃。在他的影响下，你的武器退化速度会加快两倍。\nBoss 会定期召唤兄弟般的武装！在其持续时间内，[DECEA3]20[-]米半径内的所有敌人获得：[DECEA3]+25%[-]移动力和[DECEA3]-50%[-]传入伤害。\n同时，物理伤害抗性降低[DECEA3]25%[-]。\n当您在附近时，每秒会消耗额外的弱理智值。\n\n它充满了死亡和战争的味道。在你的脑海中——外国命令的回声。趁你还拿着武器逃跑。
BuffAncientYetiAOE,buffs,Buff,,Ancient Yeti,古代雪人
BuffAncientYetiAOETooltip,buffs,buff,,Ancient Yeti is on the hunt,远古雪人正在狩猎
BuffAncientYetiAOEIncDesc,buffs,Buff,,"The existence of these creatures is still considered fiction. If the virus can distort ordinary people and animals, then what has it done to this creature? Even from a distance, you feel the piercing cold emanating from it.\n\n[FFB800]SPECIAL PROPERTIES:[-]\nWhen the boss takes damage, he goes into a frenzy. Its movements speed up by [DECEA3]50%[-], attacks become [DECEA3]60%[-] more frequent, and each hit knocks you down. However, in this state, its damage resistance is reduced by [DECEA3]30%[-].\nPeriodically, the boss calls for backup. For its duration, all enemies within a [DECEA3]20[-] meter radius gain: [DECEA3]+25%[-] mobility and [DECEA3]-75%[-] incoming damage.\nAt the same time, physical damage resistance is reduced by [DECEA3]25%[-], and damage to the boss himself is increased by [DECEA3]25%[-]. Additional weak sanity drain every second while you are nearby.\n\nThe air freezes your lungs, the cold eats away at your soul. RUN before your body becomes an icy monument!",这些生物的存在仍然被认为是虚构的。如果病毒能够扭曲普通人和动物，那么它对这个生物又造成了什么影响呢？即使隔着很远的距离，你也能感受到从中散发出来的刺骨寒气。\n\n[FFB800]特殊属性：[-]\n当Boss受到伤害时，他会陷入疯狂。它的移动速度加快了[DECEA3]50%[-]，攻击变得更加频繁，每次攻击都会击倒你。但在此状态下，其伤害抗性会降低[DECEA3]30%[-]。\n老板定期要求支援。在其持续时间内，[DECEA3]20[-]米半径内的所有敌人获得：[DECEA3]+25%[-]移动力和[DECEA3]-75%[-]传入伤害。\n同时，物理伤害抗性减少[DECEA3]25%[-]，对boss本身的伤害增加[DECEA3]25%[-]。当你在附近时，每秒都会消耗额外的弱理智。\n\n空气冻结你的肺部，寒冷吞噬你的灵魂。在你的身体变成冰冷的纪念碑之前跑吧！
BuffCongealmentName,buffs,buff,,Freezing,冷冻
BuffCongealmentTooltip,buffs,buff,,You freeze,你冻结了
BuffCongealmentIncDesc,buffs,Buff,,"Your body gradually freezes from the terrible cold. Your mobility and weapon reload speed decrease every second until you freeze in place. Also, every second you lose [DECEA3]18[-] stamina and significantly drain your overall reserves.",你的身体逐渐因严寒而结冰。你的机动性和武器装填速度每秒都会降低，直到你僵在原地。此外，每一秒你都会失去[DECEA3]18[-]耐力并显着耗尽你的整体储备。
BuffCarrierAOE,buffs,Buff,,Carrier,载体
BuffCarrierAOETooltip,buffs,buff,,Carrier is on the hunt,承运人正在寻找
BuffCarrierAOEIncDesc,buffs,Buff,,"In the most dangerous radiation zones, there lives a creature best avoided.\nBut if you see it — assume the encounter has already begun.\n\nThis creature never hunts alone: it draws other rare creatures to itself.\nAn enemy of the highest threat level.\nGetting hit by it is almost guaranteed death.\nThink twice before engaging it in battle.\nRadiation levels nearby are significantly elevated.\n\nIts very sight terrifies you.\nEvery second nearby drains your sanity.\nYour vision darkens, the world starts to blur…\nBUT YOU CAN STILL RUN!!!",在最危险的辐射区域，生活着一种最好避免的生物。\n但如果你看到它 - 假设遭遇已经开始。\n\n这种生物从不单独狩猎：它会吸引其他稀有生物到自己身边。\n威胁级别最高的敌人。\n被它击中几乎肯定会死。\n在参与战斗之前请三思。\n附近的辐射水平显着升高。\n\n它的景象让您感到恐惧。\n附近的每一秒都会耗尽你的理智。\n你的视野变暗，世界开始模糊……\n但你仍然可以跑！
BuffBossEnragePlayer,buffs,Buff,,Boss enraged,老板生气了
BuffBossEnragePlayerName,buffs,buff,,Boss enraged,老板生气了
BuffBossEnragePlayerTooltip,buffs,buff,,Boss enraged,老板生气了
BuffBossEnragePlayerIncDesc,buffs,Buff,,"You've driven the Boss into a rage. Better run away!\nHis movement speed is increased by [DECEA3]50%[-], his attack speed is increased by [DECEA3]60%[-], and any of his attacks will knock you down.\n\nHowever, his damage resistance is reduced by [DECEA3]30%[-].",你已经把老板惹怒了。最好逃走！\n他的移动速度增加[DECEA3]50%[-]，他的攻击速度增加[DECEA3]60%[-]，他的任何攻击都会击倒你。\n\n但是，他的伤害抗性降低了[DECEA3]30%[-]。
BuffBossImmortalPlayer,buffs,Buff,,Boss invulnerable,Boss无敌
BuffBossImmortalPlayerName,buffs,buff,,Boss invulnerable,Boss无敌
BuffBossImmortalPlayerTooltip,buffs,buff,,Boss invulnerable,Boss无敌
BuffBossImmortalPlayerIncDesc,buffs,Buff,,"The Boss has gone into deep defense. He emits strong radiation, be careful!\nIt's better not to hit him for now. He is invulnerable to any type of damage.",Boss 已进入深度防御。他会发出强烈的辐射，小心！\n现在最好不要打他。他不会受到任何类型的伤害。
BuffCarrierImmortalPlayer,buffs,Buff,,Carrier protected,运营商保护
BuffCarrierImmortalPlayerName,buffs,buff,,Carrier protected,运营商保护
BuffCarrierImmortalPlayerTooltip,buffs,buff,,Carrier protected,运营商保护
BuffCarrierImmortalPlayerIncDesc,buffs,Buff,,The carrier is reinforced by a defender. He neutralizes all damage.\nIt's better not to hit him for now. Kill the defender so you can deal damage.,航母由防御者增援。他抵消了所有伤害。\n现在最好不要打他。杀死防守者，这样你就可以造成伤害。
BuffCarrierActivePlayer,buffs,Buff,,Carrier activated,运营商已激活
BuffCarrierActivePlayerName,buffs,buff,,Carrier activated,运营商已激活
BuffCarrierActivePlayerTooltip,buffs,buff,,Carrier activated,运营商已激活
BuffCarrierActivePlayerIncDesc,buffs,Buff,,The Carrier activated. Its movement speed and damage are significantly increased.\nKill the activator to deactivate it.,运营商已激活。其移动速度和伤害显着提高。\n终止激活器以将其停用。
BuffBossHealthTheftPlayer,buffs,Buff,,Boss steals health,老板偷走生命值
BuffBossHealthTheftPlayerName,buffs,buff,,Boss steals health,老板偷走生命值
BuffBossHealthTheftPlayerTooltip,buffs,buff,,Boss steals health,老板偷走生命值
BuffBossHealthTheftPlayerIncDesc,buffs,Buff,,The boss feeds on your adrenaline. You take damage over time and are slowed down. Try to wait it out and stay alive.,老板以你的肾上腺素为食。随着时间的推移，你会受到伤害并且速度会减慢。尝试等待并保持活力。
BuffBossBrotherhoodPlayer,buffs,Buff,,Brotherhood in arms,兄弟情谊在怀中
BuffBossBrotherhoodPlayerName,buffs,buff,,Boss's Brotherhood in Arms,Boss的武装兄弟会
BuffBossBrotherhoodPlayerTooltip,buffs,buff,,The boss calls for a brotherhood in arms,老板呼吁兄弟情谊
BuffBossBrotherhoodPlayerIncDesc,buffs,Buff,,"The boss summons a brotherhood of arms. For the duration of the ability, all enemies within 20 meters of the boss receive a mobility bonus of [DECEA3]25%[-], and all damage taken by them is reduced by [DECEA3]50%[-]. In addition, your resistance to physical damage is reduced by [FFB800]25%[-].\nTry to wait it out and stay alive.",老板召集了兄弟会。在该技能持续时间内，boss周围20米范围内的所有敌人都会获得[DECEA3]25%[-]的移动加成，并且受到的所有伤害都会减少[DECEA3]50%[-]。此外，你对物理伤害的抵抗力降低了[FFB800]25%[-]。\n尝试等待并保持活力。
BuffBossIceRoarPlayer,buffs,Buff,,Ice Roar,冰吼
BuffBossIceRoarPlayerName,buffs,buff,,Boss's Ice Roar,Boss的冰吼
BuffBossIceRoarPlayerTooltip,buffs,buff,,The boss calls for backup,老板呼叫支援
BuffBossIceRoarPlayerIncDesc,buffs,Buff,,"The boss calls for reinforcements. For the duration of the ability, all ice claws within 20 meters of the boss receive a mobility bonus of [DECEA3]25%[-], and all damage to them is reduced by [DECEA3]75%[-]. However, damage to the boss itself is increased by [DECEA3]25%[-]. Your physical damage resistance is reduced by [FFB800]25%[-].\nTry to wait it out and stay alive.",老板呼叫增援。在该能力持续时间内，Boss周围20米范围内的所有冰爪都会获得[DECEA3]25%[-]的移动加成，并且对它们造成的所有伤害都会减少[DECEA3]75%[-]。然而，对 Boss 本身的伤害增加[DECEA3]25%[-]。此外，对物理伤害的抵抗力会降低[FFB800]25%[-]。\n尝试等待并保持活力。
