Key,Source,Context,Changes,English,Italian
perkCombosMeleeRank4LongDesc,progression,Skills,,"You combine attacks masterfully.\nThe chance to trigger a combo is [DECEA3]9%[-], and the bonus lasts [DECEA3]3m[-].",Combini gli attacchi magistralmente.\nLa possibilità di attivare una combo è del [DECEA3]9%[-] e il bonus dura [DECEA3]3m[-].
perkCombosMeleeRank5Desc,progression,Skills,,Grandmaster,Gran Maestro
perkCombosMeleeRank5LongDesc,progression,Skills,,"You are a great combinator. The chance to trigger a combo is [DECEA3]10%[-], and the bonus lasts [DECEA3]3m 30s[-].",Sei un grande combinatore. La possibilità di attivare una combo è [DECEA3]10%[-] e il bonus dura [DECEA3]3m 30s[-].
buffComboBonus1Tooltip,buffs,Buff,,You've received a bonus from your completed normal combo,Hai ricevuto un bonus dalla tua combo normale completata
buffComboBonus2Tooltip,buffs,Buff,,You've received a bonus from your completed advanced combo,Hai ricevuto un bonus dalla tua combo avanzata completata
buffComboBonus3Tooltip,buffs,Buff,,You've received a bonus from your completed hard combo,Hai ricevuto un bonus dalla tua combo difficile completata
buffComboBonusDamage1Name,buffs,buff,,Combo Bonus: [C8C8C8]Damage[-],Bonus combo: [C8C8C8]Danno[-]
buffComboBonusDamage1Desc,buffs,Buff,,You've received a bonus from your completed normal combo. Melee weapon damage is increased by [C8C8C8]10%[-].,Hai ricevuto un bonus dalla tua combo normale completata. Il danno dell'arma da mischia è aumentato del [C8C8C8]10%[-].
buffComboBonusDamage2Name,buffs,buff,,Combo Bonus: [BEBEFF]Damage[-],Bonus combo: [BEBEFF]Danno[-]
buffComboBonusDamage2Desc,buffs,Buff,,You've received a bonus from your completed advanced combo. Melee weapon damage is increased by [BEBEFF]20%[-].,Hai ricevuto un bonus dalla tua combo avanzata completata. Il danno dell'arma da mischia è aumentato del [BEBEFF]20%[-].
buffComboBonusDamage3Name,buffs,buff,,Combo Bonus: [FFB800]Damage[-],Bonus combo: [FFB800]Danno[-]
buffComboBonusDamage3Desc,buffs,Buff,,You've received a bonus from your completed hard combo. Melee weapon damage is increased by [FFB800]30%[-].,Hai ricevuto un bonus dalla tua combo difficile completata. Il danno dell'arma da mischia è aumentato del [FFB800]30%[-].
buffComboBonusSpeed1Name,buffs,buff,,Combo Bonus: [C8C8C8]Speed[-],Bonus combo: [C8C8C8]Velocità[-]
buffComboBonusSpeed1Desc,buffs,Buff,,You've received a bonus from your completed normal combo. Melee weapon attack speed is increased by [C8C8C8]10%[-].,Hai ricevuto un bonus dalla tua combo normale completata. La velocità di attacco dell'arma da mischia è aumentata del [C8C8C8]10%[-].
buffComboBonusSpeed2Name,buffs,buff,,Combo Bonus: [BEBEFF]Speed[-],Bonus combo: [BEBEFF]Velocità[-]
buffComboBonusSpeed2Desc,buffs,Buff,,You've received a bonus from your completed advanced combo. Melee weapon attack speed is increased by [BEBEFF]20%[-].,Hai ricevuto un bonus dalla tua combo avanzata completata. La velocità di attacco dell'arma da mischia è aumentata del [BEBEFF]20%[-].
buffComboBonusSpeed3Name,buffs,buff,,Combo Bonus: [FFB800]Speed[-],Bonus combo: [FFB800]Velocità[-]
buffComboBonusSpeed3Desc,buffs,Buff,,You've received a bonus from your completed hard combo. Melee weapon attack speed is increased by [FFB800]30%[-].,Hai ricevuto un bonus dalla tua combo difficile completata. La velocità di attacco dell'arma da mischia è aumentata del [FFB800]30%[-].
buffComboBonusXP1Name,buffs,buff,,Combo Bonus: [C8C8C8]Experience[-],Bonus combinato: [C8C8C8]Esperienza[-]
buffComboBonusXP1Desc,buffs,Buff,,You've received a bonus from your completed normal combo. Experience gained is increased by [C8C8C8]5%[-].,Hai ricevuto un bonus dalla tua combo normale completata. L'esperienza acquisita è aumentata del [C8C8C8]5%[-].
buffComboBonusXP2Name,buffs,buff,,Combo Bonus: [BEBEFF]Experience[-],Bonus combinato: [BEBEFF]Esperienza[-]
buffComboBonusXP2Desc,buffs,Buff,,You've received a bonus from your completed advanced combo. Experience gained is increased by [BEBEFF]10%[-].,Hai ricevuto un bonus dalla tua combo avanzata completata. L'esperienza acquisita aumenta del [BEBEFF]10%[-].
buffComboBonusXP3Name,buffs,buff,,Combo Bonus: [FFB800]Experience[-],Bonus combinato: [FFB800]Esperienza[-]
buffComboBonusXP3Desc,buffs,Buff,,You've received a bonus from your completed hard combo. Experience gained is increased by [FFB800]15%[-].,Hai ricevuto un bonus dalla tua combo difficile completata. L'esperienza acquisita è aumentata del [FFB800]15%[-].

===
=== Z_Contracts ===
===


ObjectiveJanitor_key,Quest,Quest Info,,Janitor,Addetto alle pulizie
ObjectiveBusinessMan_key,Quest,Quest Info,,Businessman,Uomo d'affari
ObjectiveBiker_key,Quest,Quest Info,,Biker,Motociclista
ObjectiveMoe_key,Quest,Quest Info,,Moe,Moe
ObjectiveFatHawaiian_key,Quest,Quest Info,,Tourist,Turista
ObjectiveSoldier_key,Quest,Quest Info,,Soldier,Soldato
ObjectiveCop_key,Quest,Quest Info,,Cop,Poliziotto
ObjectiveDemolition_key,Quest,Quest Info,,Demolisher,Demolitore
ObjectiveNurses_key,Quest,Quest Info,,Nurse,Infermiera
ObjectiveHazmat_key,Quest,Quest Info,,Hazmat,Hazmat
ObjectiveMutated_key,Quest,Quest Info,,Mutated,Mutato
ObjectiveLumberjack_key,Quest,Quest Info,,Lumberjack,Taglialegna
ObjectiveBurntZombie_key,Quest,Quest Info,,Burnt zombie,Zombie bruciato
ObjectiveSmallAnimal_key,Quest,Quest Info,,Small Animals,Piccoli animali
ObjectiveMediumAnimal_key,Quest,Quest Info,,Medium Animals,Animali medi
ObjectiveBigAnimal_key,Quest,Quest Info,,Big Animals,Grandi animali
ObjectiveZombieBear_key,Quest,Quest Info,,Zombie Bear,Orso zombi
ObjectiveMountainLion_key,Quest,Quest Info,,Mountain Lion,Leone di montagna
ObjectiveDireWolf_key,Quest,Quest Info,,Dire Wolf,Lupo terribile
ObjectiveSnake_key,Quest,Quest Info,,Snake,Serpente
ObjectiveChicken_key,Quest,Quest Info,,Chicken,Pollo
ObjectiveVulture_key,Quest,Quest Info,,Vulture,Avvoltoio
ObjectiveBear_key,Quest,Quest Info,,Bear,Orso
ObjectiveDogs_key,Quest,Quest Info,,"Zombie Dogs, Wolves or Coyotes","Cani zombi, lupi o coyote"
ObjectiveFeral_key,Quest,Quest Info,,Feral,Ferale
ObjectiveRadiated_key,Quest,Quest Info,,Radiated,Radiato
ObjectiveElite_key,Quest,Quest Info,,Elite,Zombie d'élite
ObjectiveMiniboss_key,Quest,Quest Info,,Miniboss,Miniboss
ObjectiveBoss_key,Quest,Quest Info,,Boss,Capo
ObjectiveAnyZombie_key,Quest,Quest Info,,Any Zombie,Qualsiasi zombi
ObjectiveMarlene_key,Quest,Quest Info,,Marlene,Marlene
ObjectiveDarlene_key,Quest,Quest Info,,Darlene,Darlene
ObjectiveJoe_key,Quest,Quest Info,,Joe,Joe
ObjectiveSteve_key,Quest,Quest Info,,Steve,Steve
ObjectiveYo_key,Quest,Quest Info,,Yo,Ehi
ObjectivePartyGirl_key,Quest,Quest Info,,Party Girl,Ragazza festaiola
TrinketStupidBet,items,Resources,,Trinket [FF8000]Stupid Bet[-],Gingillo [FF8000]Scommessa stupida[-]
TrinketStupidBetDesc,items,Resources,,"The trinket itself is absolutely useless. However, having collected enough, you will be able to prove to the merchants that you are ready to emerge victorious in any, even the most stupid, dispute.","Il gingillo in sé è assolutamente inutile. Tuttavia, avendo raccolto abbastanza, potrai dimostrare ai commercianti che sei pronto a uscire vittorioso da qualsiasi disputa, anche la più stupida."
Bonus_StupidBet,items,Resources,,[FF8000]Born Debater[-],[FF8000]Dibattitore nato[-]
Bonus_StupidBetDesc,items,Resources,,"By using this item, you will prove to everyone that it is difficult to argue with you, and will forever receive a [DECEA3]10%[-] bonus to the selling price of items at traders.","Utilizzando questo oggetto, dimostrerai a tutti che è difficile discutere con te e riceverai per sempre un bonus del [DECEA3]10%[-] sul prezzo di vendita degli articoli presso i commercianti."
quest_Contract,Quest,Quest Info,,Fulfill the terms of the contract,Adempiere ai termini del contratto
quest_Contract_complite,Quest,Quest Info,,Great job! Contract closed. Here's your reward.,Ottimo lavoro! Contratto chiuso. Ecco la tua ricompensa.
Ingredients_Desc,items,questItem,,"This item is handed over after completing the corresponding contract.\nFind a contract in the world and complete its conditions.\nAfter crafting the item, hand it over to the trader to receive a reward.\n\n[DECEA3]An item crafted in advance will not be accepted by the trader.[-]","Questo oggetto viene consegnato dopo aver completato il contratto corrispondente.\nTrova un contratto nel mondo e completa le sue condizioni.\nDopo aver creato l'oggetto, consegnalo al commerciante per ricevere una ricompensa.\n\n[DECEA3]Un oggetto creato in anticipo non sarà accettato dal commerciante.[-]"
RareCont_Bundle,items,item,,Random [D1D5FF]Rare Contract:[-],Casuale [D1D5FF]Contratto raro:[-]
RareCont_BundleDesc,items,item,,"When used, grants a random rare contract.","Se utilizzato, garantisce un contratto raro casuale."
Elixir_HealthT1,items,questItem,,[DECEA3]Small Elixir:[-] Health Reserve,[DECEA3]Piccolo Elisir:[-] Riserva di salute
Elixir_HealthT1Desc,items,questItem,,"When used, permanently increases health by [DECEA3]1[-].","Quando utilizzato, aumenta permanentemente la salute di [DECEA3]1[-]."
Elixir_HealthT2,items,questItem,,[DECEA3]Medium Elixir:[-] Health Reserve,[DECEA3]Elisir medio:[-] Riserva di salute
Elixir_HealthT2Desc,items,questItem,,"When used, permanently increases health by [DECEA3]5[-].","Quando utilizzato, aumenta permanentemente la salute di [DECEA3]5[-]."
Elixir_HealthT3,items,questItem,,[DECEA3]Large Elixir:[-] Health Reserve,[DECEA3]Elisir grande:[-] Riserva di salute
Elixir_HealthT3Desc,items,questItem,,"When used, permanently increases health by [DECEA3]10[-].","Quando utilizzato, aumenta permanentemente la salute di [DECEA3]10[-]."
Elixir_StaminaT1,items,questItem,,[DECEA3]Small Elixir:[-] Stamina Reserve,[DECEA3]Piccolo Elisir:[-] Riserva di resistenza
Elixir_StaminaT1Desc,items,questItem,,"When used, permanently increases stamina by [DECEA3]1[-].","Quando utilizzato, aumenta permanentemente la resistenza di [DECEA3]1[-]."
Elixir_StaminaT2,items,questItem,,[DECEA3]Medium Elixir:[-] Stamina Reserve,[DECEA3]Elisir medio:[-] Riserva di resistenza
Elixir_StaminaT2Desc,items,questItem,,"When used, permanently increases stamina by [DECEA3]5[-].","Quando utilizzato, aumenta permanentemente la resistenza di [DECEA3]5[-]."
Elixir_StaminaT3,items,questItem,,[DECEA3]Large Elixir:[-] Stamina Reserve,[DECEA3]Elisir grande:[-] Riserva di resistenza
Elixir_StaminaT3Desc,items,questItem,,"When used, permanently increases stamina by [DECEA3]10[-].","Quando utilizzato, aumenta permanentemente la resistenza di [DECEA3]10[-]."
Elixir_JumpStrength,items,questItem,,[DECEA3]Elixir:[-] Jump Strength,[DECEA3]Elisir:[-] Forza del salto
Elixir_JumpStrengthDesc,items,questItem,,"When used, permanently increases jump strength by [DECEA3]5%[-].","Se utilizzato, aumenta permanentemente la forza del salto del [DECEA3]5%[-]."
Elixir_Mobility,items,questItem,,[DECEA3]Elixir:[-] Mobility,[DECEA3]Elisir:[-] Mobilità
Elixir_MobilityDesc,items,questItem,,"When used, permanently increases mobility by [DECEA3]1%[-].","Se utilizzato, aumenta permanentemente la mobilità del [DECEA3]1%[-]."
Elixir_HiddenStrike,items,questItem,,[DECEA3]Elixir:[-] Hidden Strike,[DECEA3]Elisir:[-] Colpo nascosto
Elixir_HiddenStrikeDesc,items,questItem,,"When used, permanently increases the damage bonus from stealth by [DECEA3]10%[-].","Se utilizzato, aumenta permanentemente il bonus al danno derivante dalla furtività del [DECEA3]10%[-]."
Elixir_AnimalDamageMelee,items,questItem,,[DECEA3]Elixir:[-] Damage to animals,[DECEA3]Elisir:[-] Danni agli animali
Elixir_AnimalDamageMeleeDesc,items,questItem,,"When used, permanently increases the melee damage bonus to animals by [DECEA3]10%[-].","Se utilizzato, aumenta permanentemente il bonus al danno corpo a corpo agli animali del [DECEA3]10%[-]."
Cont_VehicleT1,items,questItem,,[71FFE7]Contract:[-] Minibike parts,[71FFE7]Contratto:[-] Parti di minimoto
Cont_VehicleT1Desc,items,questItem,,"Starts [71FFE7]Contract:[-] Minibike Parts\n\nBy completing the contract, you will be able to receive a random Minibike part.","Inizia [71FFE7]Contratto:[-] Parti minimoto\n\nCompletando il contratto, potrai ricevere un pezzo minimoto casuale."
Cont_VehicleT2,items,questItem,,[71FFE7]Contract:[-] Motorcycle parts,[71FFE7]Contratto:[-] Parti di motocicli
Cont_VehicleT2Desc,items,questItem,,"Starts [71FFE7]Contract:[-] Motorcycle Parts\n\nBy completing the contract, you will be able to receive a random Motorcycle part.","Inizia [71FFE7]Contratto:[-] Parti di motociclette\n\nCompletando il contratto, potrai ricevere una parte di motocicletta casuale."
Cont_VehicleT3,items,questItem,,[71FFE7]Contract:[-] 4x4 Truck parts,[71FFE7]Contratto:[-] Parti per camion 4x4
Cont_VehicleT3Desc,items,questItem,,"Starts [71FFE7]Contract:[-] 4x4 Truck Parts\n\nBy completing the contract, you will be able to receive a random 4x4 Truck part.","Inizia [71FFE7]Contratto:[-] Parti per camion 4x4\n\nCompletando il contratto, potrai ricevere una parte casuale per camion 4x4."
Cont_VehicleT4,items,questItem,,[71FFE7]Contract:[-] Gyrocopter parts,[71FFE7]Contratto:[-] Parti di girocotteri
Cont_VehicleT4Desc,items,questItem,,"Starts [71FFE7]Contract:[-] Gyrocopter Parts\n\nBy completing the contract, you will be able to receive a random Gyrocopter part.","Inizia [71FFE7]Contratto:[-] Parti del girocottero\n\nCompletando il contratto, potrai ricevere una parte casuale del girocottero."
Ingredients_FoodT1,items,questItem,,Ingredients [71FFE7]Contract:[-] Some food,Ingredienti [71FFE7]Contratto:[-] Del cibo
Cont_FoodT1,items,questItem,,[71FFE7]Contract:[-] Some Food,[71FFE7]Contratto:[-] Un po' di cibo
Cont_FoodT1Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Some Food\n\nBy completing the contract, you will be able to get some food and drinking water.","Lancia [71FFE7]Contratto:[-] Del cibo\n\nCompletando il contratto, sarai in grado di ottenere del cibo e dell'acqua potabile."
Ingredients_FoodT2,items,questItem,,Ingredients [71FFE7]Contract:[-] Hearty Lunch,Ingredienti [71FFE7]Contratto:[-] Pranzo abbondante
Cont_FoodT2,items,questItem,,[71FFE7]Contract:[-] Hearty Lunch,[71FFE7]Contratto:[-] Pranzo abbondante
Cont_FoodT2Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Hearty Lunch\n\nBy fulfilling the terms of the contract, you will be able to receive a tasty drink and hearty food.","Lancia [71FFE7]Contratto:[-] Pranzo abbondante\n\nAdempiendo ai termini del contratto, potrai ricevere una bevanda gustosa e cibo abbondante."
Ingredients_FoodT3,items,questItem,,Ingredients [71FFE7]Contract:[-] Lots of Food,Ingredienti [71FFE7]Contratto:[-] Tanto cibo
Cont_FoodT3,items,questItem,,[71FFE7]Contract:[-] Lots of Food,[71FFE7]Contratto:[-] Tanto cibo
Cont_FoodT3Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Lots of Food\n\nAfter completing the contract, you can get mineral water and a delicious stew.","Lancia [71FFE7]Contratto:[-] Un sacco di cibo\n\nDopo aver completato il contratto, puoi ottenere acqua minerale e un delizioso stufato."
Ingredients_FoodT4,items,questItem,,Ingredients [71FFE7]Contract:[-] Glutton,Ingredienti [71FFE7]Contratto:[-] Ghiottone
Cont_FoodT4,items,questItem,,[71FFE7]Contract:[-] Glutton,[71FFE7]Contratto:[-] Ghiottone
Cont_FoodT4Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Glutton\n\nAfter completing the contract, you will be able to receive smoothies and homemade food.","Lancia [71FFE7]Contratto:[-] Ghiottone\n\nDopo aver completato il contratto, potrai ricevere frullati e cibo fatto in casa."
Cont_MedicineT1,items,questItem,,[71FFE7]Contract:[-] First aid,[71FFE7]Contratto:[-] Primo soccorso
Cont_MedicineT1Desc,items,questItem,,"Launches [71FFE7]Contract:[-] First Aid\n\nBy completing the contract, you will be able to receive First Aid Bandages, a Splint, or Honey.","Lancia [71FFE7]Contratto:[-] Pronto soccorso\n\nCompletando il contratto, potrai ricevere bende di pronto soccorso, una stecca o miele."
Cont_MedicineT2,items,questItem,,[71FFE7]Contract:[-] Basic medicine,[71FFE7]Contratto:[-] Medicina di base
Cont_MedicineT2Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Basic medicine\n\nBy fulfilling the terms of the contract, you can receive painkillers, vitamins, a splint, or herbal antibiotics.","Lancia [71FFE7]Contratto:[-] Medicina di base\n\nAdempiendo ai termini del contratto, puoi ricevere antidolorifici, vitamine, una stecca o antibiotici a base di erbe."
Cont_MedicineT3,items,questItem,,[71FFE7]Contract:[-] Good medicine,[71FFE7]Contratto:[-] Buona medicina
Cont_MedicineT3Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Good medicine\n\nBy fulfilling the terms of the contract, you can receive first aid kits, plaster cast or antibiotics.","Lancia [71FFE7]Contratto:[-] Buona medicina\n\nAdempiendo ai termini del contratto, puoi ricevere kit di pronto soccorso, calchi in gesso o antibiotici."
Cont_MedicineT4,items,questItem,,[71FFE7]Contract:[-] Best medicine,[71FFE7]Contratto:[-] La migliore medicina
Cont_MedicineT4Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Best Medicine\n\nAfter completing the contract, you can get a first aid kit, rare medicine, Recog or Fort Bites.","Lancia [71FFE7]Contratto:[-] Migliore medicina\n\nDopo aver completato il contratto, puoi ottenere un kit di pronto soccorso, medicine rare, Recog o Fort Bites."
Cont_ConstructionT1,items,questItem,,[71FFE7]Contract:[-] Construction Basics,[71FFE7]Contratto:[-] Nozioni di base sulla costruzione
Cont_ConstructionT1Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Construction Basics\n\nBy fulfilling the contract conditions, you will be able to obtain resources for construction.","Lancia [71FFE7]Contratto:[-] Nozioni di base sulla costruzione\n\nSoddisfacendo le condizioni del contratto, sarai in grado di ottenere risorse per la costruzione."
Cont_ConstructionT2,items,questItem,,[71FFE7]Contract:[-] Strong walls,[71FFE7]Contratto:[-] Muri forti
Cont_ConstructionT2Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Strong walls\n\nBy fulfilling the contract conditions, you will be able to obtain resources for construction.","Lancia [71FFE7]Contratto:[-] Mura robuste\n\nSoddisfacendo le condizioni del contratto, sarai in grado di ottenere risorse per la costruzione."
Cont_ConstructionT3,items,questItem,,[71FFE7]Contract:[-] Experienced builder,[71FFE7]Contratto:[-] Costruttore esperto
Cont_ConstructionT3Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Experienced builder\n\nBy fulfilling the contract conditions, you will be able to obtain resources for construction.","Lancia [71FFE7]Contratto:[-] Costruttore esperto\n\nAdempiendo alle condizioni del contratto, sarai in grado di ottenere risorse per la costruzione."
Ingredients_WorkstationT1,items,questItem,,Ingredients [71FFE7]Contract:[-] Improved Dew Collector,Ingredienti [71FFE7]Contratto:[-] Raccoglitore di rugiada migliorato
Cont_WorkstationT1,items,questItem,,[71FFE7]Contract:[-] Improved Dew Collector,[71FFE7]Contratto:[-] Raccoglitore di rugiada migliorato
Cont_WorkstationT1Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Improved Dew Collector\n\nBy completing the contract, you will be able to obtain the Improved Dew Collector.","Lancia [71FFE7]Contratto:[-] Raccoglitore di rugiada migliorato\n\nCompletando il contratto, sarai in grado di ottenere il raccoglitore di rugiada migliorato."
Ingredients_WorkstationT2,items,questItem,,Ingredients [71FFE7]Contract:[-] Improved Workbench,Ingredienti [71FFE7]Contratto:[-] Banco da lavoro migliorato
Cont_WorkstationT2,items,questItem,,[71FFE7]Contract:[-] Improved Workbench,[71FFE7]Contratto:[-] Banco di lavoro migliorato
Cont_WorkstationT2Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Improved Workbench\n\nBy completing the contract, you will be able to receive an improved workbench.","Lancia [71FFE7]Contratto:[-] Banco da lavoro migliorato\n\nCompletando il contratto, potrai ricevere un banco da lavoro migliorato."
Ingredients_WorkstationT3,items,questItem,,Ingredients [71FFE7]Contract:[-] Improved Cement Mixer,Ingredienti [71FFE7]Contratto:[-] Betoniera migliorata
Cont_WorkstationT3,items,questItem,,[71FFE7]Contract:[-] Improved Cement Mixer,[71FFE7]Contratto:[-] Betoniera migliorata
Cont_WorkstationT3Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Improved Cement Mixer\n\nBy completing the contract, you will be able to obtain an improved Cement Mixer.","Lancia [71FFE7]Contratto:[-] Betoniera migliorata\n\nCompletando il contratto, potrai ottenere una betoniera migliorata."
Ingredients_WorkstationT4,items,questItem,,Ingredients [71FFE7]Contract:[-] Improved Forge,Ingredienti [71FFE7]Contratto:[-] Forgia migliorata
Cont_WorkstationT4,items,questItem,,[71FFE7]Contract:[-] Improved Forge,[71FFE7]Contratto:[-] Forgia migliorata
Cont_WorkstationT4Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Improved Forge\n\nBy completing the contract, you will be able to obtain an improved forge.","Lancia [71FFE7]Contratto:[-] Forgia migliorata\n\nCompletando il contratto, sarai in grado di ottenere una forgia migliorata."
Ingredients_WorkstationT5,items,questItem,,Ingredients [71FFE7]Contract:[-] Improved Chemical Station,Ingredienti [71FFE7]Contratto:[-] Stazione chimica migliorata
Cont_WorkstationT5,items,questItem,,[71FFE7]Contract:[-] Improved Chemical Station,[71FFE7]Contratto:[-] Stazione chimica migliorata
Cont_WorkstationT5Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Improved Chemical Station\n\nBy completing the contract, you will be able to obtain an improved chemical station.","Lancia [71FFE7]Contratto:[-] Stazione chimica migliorata\n\nCompletando il contratto, sarai in grado di ottenere una stazione chimica migliorata."
Cont_BooksT1,items,questItem,,[71FFE7]Contract:[-] Some information,[71FFE7]Contratto:[-] Alcune informazioni
Cont_BooksT1Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Some information\n\nBy fulfilling the conditions of the contract, you will be able to receive a set of books or magazines.","Lancia [71FFE7]Contratto:[-] Alcune informazioni\n\nAdempiendo alle condizioni del contratto, potrai ricevere un set di libri o riviste."
Cont_BooksT2,items,questItem,,[71FFE7]Contract:[-] Useful knowledge,[71FFE7]Contratto:[-] Conoscenze utili
Cont_BooksT2Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Useful knowledge\n\nBy fulfilling the conditions of the contract, you will be able to receive a set of books or magazines.","Lancia [71FFE7]Contratto:[-] Conoscenze utili\n\nAdempiendo alle condizioni del contratto, potrai ricevere un set di libri o riviste."
Cont_BooksT3,items,questItem,,[71FFE7]Contract:[-] Trove of Knowledge,[71FFE7]Contratto:[-] Tesoro della conoscenza
Cont_BooksT3Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Trove of Knowledge\n\nBy fulfilling the conditions of the contract, you will be able to receive a set of books or magazines.","Lancia [71FFE7]Contratto:[-] Trove of Knowledge\n\nSoddisfacendo le condizioni del contratto, sarai in grado di ricevere una serie di libri o riviste."
Cont_BooksT4,items,questItem,,[71FFE7]Contract:[-] Library of Knowledge,[71FFE7]Contratto:[-] Biblioteca della Conoscenza
Cont_BooksT4Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Library of Knowledge\n\nBy fulfilling the conditions of the contract, you will be able to receive a set of books or magazines.","Lancia [71FFE7]Contratto:[-] Biblioteca della Conoscenza\n\nAdempiendo alle condizioni del contratto, sarai in grado di ricevere una serie di libri o riviste."
Ingredients_ArmorT1,items,questItem,,Ingredients [71FFE7]Contract:[-] Fine Stitching,Ingredienti [71FFE7]Contratto:[-] Cuciture fini
Cont_ArmorT1,items,questItem,,[71FFE7]Contract:[-] Fine Stitching,[71FFE7]Contratto:[-] Cucitura fine
Cont_ArmorT1Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Fine Stitching\n\nBy fulfilling the terms of the contract, you will be able to receive resources for creating armor.","Lancia [71FFE7]Contratto:[-] Cuciture fini\n\nAdempiendo ai termini del contratto, sarai in grado di ricevere risorse per creare armature."
Ingredients_ArmorT2,items,questItem,,Ingredients [71FFE7]Contract:[-] A good tailor,Ingredienti [71FFE7]Contratto:[-] Un buon sarto
Cont_ArmorT2,items,questItem,,[71FFE7]Contract:[-] A good tailor,[71FFE7]Contratto:[-] Un bravo sarto
Cont_ArmorT2Desc,items,questItem,,"Launches [71FFE7]Contract:[-] A good tailor\n\nBy fulfilling the terms of the contract, you will be able to receive resources for creating armor.","Lancia [71FFE7]Contratto:[-] Un buon sarto\n\nAdempiendo ai termini del contratto, sarai in grado di ricevere risorse per creare armature."
Ingredients_ArmorT3,items,questItem,,Ingredients [71FFE7]Contract:[-] The best tailor,Ingredienti [71FFE7]Contratto:[-] Il miglior sarto
Cont_ArmorT3,items,questItem,,[71FFE7]Contract:[-] The best tailor,[71FFE7]Contratto:[-] Il miglior sarto
Cont_ArmorT3Desc,items,questItem,,"Launches [71FFE7]Contract:[-] The best tailor\n\nBy fulfilling the terms of the contract, you will be able to receive resources for creating armor.","Lancia [71FFE7]Contratto:[-] Il miglior sarto\n\nSeguendo i termini del contratto, sarai in grado di ricevere risorse per creare armature."
Ingredients_RepairT1,items,questItem,,Ingredients [71FFE7]Contract:[-] Mend and Glue,Ingredienti [71FFE7]Contratto:[-] Ripara e incolla
Cont_RepairT1,items,questItem,,[71FFE7]Contract:[-] Mend and Glue,[71FFE7]Contratto:[-] Ripara e incolla
Cont_RepairT1Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Mend and Glue\n\nAfter completing the contract, you will be able to receive repair kits.","Lancia [71FFE7]Contratto:[-] Ripara e incolla\n\nDopo aver completato il contratto, potrai ricevere i kit di riparazione."
Ingredients_RepairT2,items,questItem,,Ingredients [71FFE7]Contract:[-] Good repair,Ingredienti [71FFE7]Contratto:[-] Buono stato di manutenzione
Cont_RepairT2,items,questItem,,[71FFE7]Contract:[-] Good repair,[71FFE7]Contratto:[-] Buono stato di manutenzione
Cont_RepairT2Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Good repair\n\nAfter completing the contract, you will be able to receive improved repair kits.","Lancia [71FFE7]Contratto:[-] Buona riparazione\n\nDopo aver completato il contratto, potrai ricevere kit di riparazione migliorati."
Ingredients_RepairT3,items,questItem,,Ingredients [71FFE7]Contract:[-] Major Repairs,Ingredienti [71FFE7]Contratto:[-] Riparazioni importanti
Cont_RepairT3,items,questItem,,[71FFE7]Contract:[-] Major Repairs,[71FFE7]Contratto:[-] Riparazioni importanti
Cont_RepairT3Desc,items,questItem,,"Launches [71FFE7]Contract:[-] Major Repairs\n\nBy completing the contract, you will be able to receive Legendary Repair Kits.","Lancia [71FFE7]Contratto:[-] Riparazioni importanti\n\nCompletando il contratto, potrai ricevere kit di riparazione leggendari."
Cont_WeaponMachineGun,items,questItem,,[71FFE7]Contract:[-] Automatic weapons Enthusiast,[71FFE7]Contratto:[-] Appassionato di armi automatiche
Cont_WeaponMachineGunDesc,items,questItem,,"Launches [71FFE7]Contract:[-] Automatic weapons Enthusiast\n\nBy completing the contract, you will be able to receive automatic weapon parts and a set of magazines.","Lancia [71FFE7]Contratto:[-] Appassionato di armi automatiche\n\nCompletando il contratto, potrai ricevere parti di armi automatiche e un set di caricatori."
Cont_WeaponShotgun,items,questItem,,[71FFE7]Contract:[-] Shotgun Enthusiast,[71FFE7]Contratto:[-] Appassionato di fucili
Cont_WeaponShotgunDesc,items,questItem,,"Starts [71FFE7]Contract:[-] Shotgun Enthusiast\n\nBy completing the contract, you will be able to receive shotgun parts and a set of magazines.","Inizia [71FFE7]Contratto:[-] Appassionato di fucili da caccia\n\nCompletando il contratto, potrai ricevere parti di fucili e un set di caricatori."
